frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03521995,0.08079075,0.07568519,0.04350736,0.0644334,0.05404806,0.07528614,0.04306148,0.03647654,0.08115204,0.02910258,0.03866606,0.05278814,0.007866263,0.03163096,0.07941274,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03523464,0.07946272,0.07570271,0.04356803,0.06429945,0.05391444,0.07527397,0.04304908,0.03656781,0.08227258,0.02895657,0.03843553,0.05271915,0.007881325,0.03168264,0.07926261,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03527635,0.07859681,0.07574407,0.04353818,0.06444032,0.05379323,0.07525975,0.04304353,0.03700706,0.08469156,0.02878341,0.0380454,0.05265864,0.007868367,0.03194794,0.07910609,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03533348,0.07931797,0.07578251,0.04353024,0.06433696,0.05384532,0.07524625,0.0430594,0.03743342,0.08797913,0.02864032,0.03777409,0.05257201,0.007850865,0.03206382,0.07895601,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03539864,0.07998288,0.07580996,0.0435068,0.06429723,0.05400161,0.07523364,0.04307607,0.0380178,0.09083539,0.02850599,0.03744091,0.05248654,0.007850369,0.03212029,0.07882062,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03550202,0.08249349,0.07584708,0.04340682,0.06412381,0.05432315,0.07522213,0.04309545,0.03834929,0.09373491,0.02837345,0.03708683,0.05240467,0.007916331,0.03216206,0.07867368,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0355981,0.08532017,0.07589212,0.04332393,0.06397703,0.05455561,0.07521116,0.04310201,0.03867628,0.09550905,0.02824579,0.03671462,0.05232348,0.007958694,0.03223085,0.07854722,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03565644,0.08492544,0.07593577,0.04326538,0.06382488,0.05476913,0.07520094,0.04310324,0.03921215,0.09651043,0.02810617,0.03626422,0.05223907,0.007998165,0.03220493,0.07842799,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03567791,0.07963043,0.07606241,0.0431602,0.06660847,0.05497529,0.07527961,0.04312344,0.09253913,0.09448508,0.02793216,0.03596276,0.05217992,0.009029404,0.03230365,0.07857051,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03571468,0.07466555,0.07630144,0.04303683,0.07260592,0.05558442,0.07536013,0.04327153,0.1491184,0.09243768,0.02787306,0.03680348,0.05227739,0.009233494,0.03374774,0.07896922,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03563551,0.07001023,0.07644109,0.04292073,0.07808915,0.05621873,0.07542449,0.04354298,0.2021701,0.09058805,0.02792456,0.03823401,0.05234805,0.00976294,0.03572544,0.0800382,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03556944,0.06564516,0.07662794,0.04281985,0.08950593,0.05639206,0.07545585,0.04386577,0.251914,0.08889631,0.02784708,0.03996769,0.05255772,0.01007668,0.03892442,0.08110978,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03556911,0.06155225,0.0768071,0.04273453,0.09978068,0.05647218,0.07546708,0.04421911,0.2985564,0.08725473,0.02777713,0.04144975,0.05263342,0.01040087,0.04163091,0.0822747,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03556373,0.05771453,0.07699241,0.04267019,0.1100751,0.05645376,0.07549079,0.04450953,0.3422907,0.08575132,0.02768514,0.04215673,0.05270135,0.01102578,0.04341314,0.0832524,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03557165,0.05411609,0.07715112,0.04259863,0.1197239,0.05643128,0.07550711,0.04483046,0.3832982,0.08423201,0.02759394,0.04273913,0.0527611,0.01167434,0.04493299,0.08417327,0.0
15,0.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03556843,0.050742,0.07728081,0.04255015,0.128349,0.05645245,0.07552496,0.04519148,0.421749,0.08280282,0.0275007,0.04307918,0.05281159,0.01209658,0.04647106,0.08499249,0.0
16,0.64,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03558119,0.04757829,0.0774101,0.04249618,0.1384503,0.05649923,0.07554413,0.04550484,0.4578024,0.08145713,0.02740969,0.04334046,0.0528415,0.01249159,0.04774547,0.08566148,0.0
17,0.68,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03559203,0.04461184,0.07753225,0.04244674,0.1482615,0.05655107,0.07556375,0.04575936,0.4916078,0.08025579,0.0273203,0.0436452,0.0528733,0.01289649,0.04882605,0.08622368,0.0
18,0.72,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03567425,0.04183034,0.07761755,0.04239116,0.1583968,0.0565166,0.07558528,0.04607585,0.5233056,0.07919633,0.02723388,0.04407522,0.05296497,0.01318003,0.0499505,0.08681169,0.0
19,0.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03580619,0.03922226,0.07769109,0.04235091,0.1692277,0.05643557,0.07560255,0.04640399,0.553027,0.07818887,0.02715649,0.04429207,0.05308689,0.01349211,0.0513136,0.08735404,0.0
20,0.8,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03595077,0.0367768,0.07772523,0.04231444,0.1801788,0.05636293,0.07561497,0.04667047,0.5808954,0.07725351,0.02708236,0.04449954,0.05317504,0.0137864,0.05246652,0.08788265,0.0
21,0.84,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03607165,0.0344838,0.07775081,0.04227873,0.1902314,0.05633542,0.07563974,0.04697039,0.6070261,0.07632618,0.02700386,0.04451464,0.05327881,0.01407833,0.05339983,0.08844368,0.0
22,0.88,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03615719,0.03233377,0.07775473,0.04225576,0.2023339,0.05631655,0.07565721,0.04724468,0.6315277,0.07538237,0.02692786,0.04472008,0.05333295,0.0142456,0.05433707,0.08921409,0.0
23,0.92,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03622403,0.0303178,0.07776664,0.04223649,0.2125607,0.05631242,0.07567061,0.04745045,0.6545016,0.07447273,0.02685554,0.04468183,0.05337661,0.01439479,0.05500073,0.08996826,0.0
24,0.96,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03629363,0.02842752,0.07777619,0.04222204,0.2233938,0.05627369,0.07568271,0.04762054,0.676043,0.07361511,0.02678773,0.04459369,0.05342639,0.01447176,0.05543306,0.09069286,0.0
25,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03632184,0.02665509,0.07779835,0.04221222,0.2353895,0.05624706,0.07569485,0.04789012,0.6962414,0.0728001,0.02672647,0.04474539,0.05349505,0.01453407,0.05577299,0.09145958,0.0
26,1.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03633001,0.02499318,0.07781572,0.0422091,0.2462177,0.05621933,0.07570979,0.04817931,0.7151805,0.07204188,0.02667099,0.04496911,0.0535652,0.01464279,0.05599657,0.09216665,0.0
27,1.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03637332,0.02343488,0.07784255,0.04219336,0.2546244,0.05619378,0.07571382,0.04842636,0.7329387,0.0713386,0.02662252,0.04504772,0.05364544,0.01467653,0.05621755,0.09256087,0.0
28,1.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0363991,0.02197374,0.07791502,0.04218567,0.2638013,0.05618691,0.07571607,0.04856317,0.7495897,0.07071839,0.02657394,0.04504011,0.05372862,0.01479123,0.05643662,0.09297297,0.0
29,1.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03641164,0.0206037,0.07795203,0.04218103,0.2712014,0.05615772,0.07571643,0.04877558,0.7652026,0.07019431,0.02654039,0.04504042,0.05383673,0.01495918,0.05657388,0.09330674,0.0
30,1.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03643842,0.01931908,0.07796596,0.04215259,0.2797525,0.05612565,0.07572364,0.04889917,0.779842,0.06993544,0.02650068,0.04499979,0.05390734,0.01526609,0.0567632,0.09363119,0.0
31,1.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03644475,0.01811456,0.07798856,0.04213262,0.2858694,0.05613993,0.07572535,0.04897924,0.7935686,0.06973758,0.02647248,0.0449709,0.05394199,0.01534617,0.05705239,0.09383895,0.0
32,1.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03643156,0.01698514,0.07799087,0.04210646,0.2920089,0.05608025,0.07572852,0.04907611,0.8064394,0.06965499,0.02643993,0.04484207,0.05396948,0.015426,0.05725368,0.09426299,0.0
33,1.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03648188,0.01592613,0.07797316,0.0420806,0.297154,0.05601461,0.07572876,0.04922476,0.8185077,0.06945543,0.02640451,0.04480069,0.05401263,0.01543602,0.05758048,0.09452251,0.0
34,1.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03658975,0.01493315,0.07795221,0.04206078,0.3020569,0.05598427,0.0757262,0.04938561,0.8298236,0.068975,0.02637183,0.04468576,0.05404077,0.01529531,0.05799393,0.09471066,0.0
35,1.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03670317,0.01400209,0.07793608,0.04205539,0.3089816,0.05595345,0.07572336,0.04958314,0.840434,0.06865265,0.02635314,0.0447744,0.05413977,0.0151973,0.05827955,0.09472637,0.0
36,1.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03677392,0.01312908,0.07790535,0.04205192,0.3149153,0.05590962,0.07572256,0.04976711,0.8503827,0.06838653,0.02632734,0.04466354,0.05424448,0.0150299,0.05866601,0.09478861,0.0
37,1.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03681041,0.01231049,0.07787541,0.04205637,0.3194222,0.05595619,0.07572298,0.04995042,0.8597112,0.06810416,0.02630257,0.04462703,0.05429861,0.01490094,0.05907355,0.0947234,0.0
38,1.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03678813,0.01154295,0.07785223,0.04206325,0.3251251,0.05602374,0.07573088,0.05009039,0.8684581,0.0678748,0.02627851,0.04463084,0.05432646,0.01489256,0.05932098,0.09464177,0.0
39,1.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03683651,0.01082326,0.07784615,0.04208189,0.3278082,0.0560949,0.07573555,0.05027429,0.8766596,0.06757323,0.02624814,0.04458209,0.05430135,0.01479745,0.05975498,0.09454265,0.0
40,1.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03691525,0.01014845,0.07783773,0.04211012,0.3317949,0.05620332,0.07574618,0.05054433,0.8843497,0.06727992,0.02622143,0.04469063,0.05429276,0.01472569,0.06013644,0.09443953,0.0
41,1.64,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03701399,0.009515706,0.07782445,0.04213017,0.335159,0.05626509,0.07575354,0.05081646,0.8915604,0.06692405,0.02619759,0.04468754,0.0542998,0.01465941,0.06014501,0.09437314,0.0
42,1.68,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03705999,0.008922414,0.07780801,0.04215549,0.3364734,0.05628403,0.07575458,0.05098988,0.8983215,0.06659483,0.02617395,0.04458638,0.05430989,0.01462748,0.06017972,0.09421945,0.0
43,1.72,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03708772,0.008366114,0.07780023,0.04217051,0.3441951,0.05636071,0.07575469,0.05119088,0.9046611,0.06631187,0.02614303,0.04458519,0.0543641,0.01450846,0.06018138,0.09410045,0.0
44,1.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03709038,0.007844498,0.07779097,0.04216976,0.3526606,0.05643188,0.07575678,0.05137153,0.9106054,0.06603956,0.02612288,0.04474401,0.05441599,0.01450555,0.06006994,0.09404548,0.0
45,1.8,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03706351,0.007355405,0.0777836,0.04218091,0.362049,0.05650026,0.07575643,0.05149743,0.9161791,0.06575732,0.02610049,0.04472401,0.05445682,0.01437027,0.05983528,0.09398621,0.0
46,1.84,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03706445,0.006896805,0.07776489,0.04219711,0.3679205,0.05652017,0.07575257,0.05164827,0.9214052,0.06552561,0.02607545,0.04462537,0.05452649,0.01415208,0.05983411,0.09404203,0.0
47,1.88,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03709325,0.006466801,0.07774234,0.04221431,0.3680246,0.05659197,0.07575449,0.05190617,0.9263055,0.06533299,0.02605144,0.0448586,0.05466465,0.01398839,0.05998826,0.09412816,0.0
48,1.92,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03708509,0.006063608,0.07770044,0.04224154,0.3687788,0.05663829,0.07575309,0.05215509,0.9309003,0.06516857,0.02603539,0.04488564,0.05478356,0.0137843,0.06006094,0.0941314,0.0
49,1.96,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03710323,0.005685552,0.0776618,0.04227095,0.3677968,0.05670225,0.07574827,0.05242012,0.9352086,0.06502657,0.02601519,0.04483845,0.05490248,0.0135799,0.06009966,0.09420911,0.0
50,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03712392,0.00533107,0.07762432,0.04227795,0.365732,0.05678559,0.07574164,0.05272067,0.9392483,0.06488377,0.02599823,0.04469159,0.05503014,0.01345418,0.06016409,0.0942278,0.0
