Zygomaticus_Major_Integrated EMG,Zygomaticus_Major_Mean Absolute Value,Zygomaticus_Major_Simple Square Integral,Zygomaticus_Major_Variance of EMG,Zygomaticus_Major_Root Mean Square,Zygomaticus_Major_Waveform Length,Zygomaticus_Major_Standard Deviation,Zygomaticus_Major_Zero Crossings,Zygomaticus_Major_Number of Peaks,Zygomaticus_Major_Mean Peak Value,Zygomaticus_Major_Skewness,Zygomaticus_Major_Difference Absolute Mean Value,Zygomaticus_Major_Frequency Median,Zygomaticus_Major_Modified Median Frequency,Zygomaticus_Major_Modified Frequency Mean,Levator_Labi_Integrated EMG,Levator_Labi_Mean Absolute Value,Levator_Labi_Simple Square Integral,Levator_Labi_Variance of EMG,Levator_Labi_Root Mean Square,Levator_Labi_Waveform Length,Levator_Labi_Standard Deviation,Levator_Labi_Zero Crossings,Levator_Labi_Number of Peaks,Levator_Labi_Mean Peak Value,Levator_Labi_Skewness,Levator_Labi_Difference Absolute Mean Value,Levator_Labi_Frequency Median,Levator_Labi_Modified Median Frequency,Levator_Labi_Modified Frequency Mean,Orbicularis_Oculi_Integrated EMG,Orbicularis_Oculi_Mean Absolute Value,Orbicularis_Oculi_Simple Square Integral,Orbicularis_Oculi_Variance of EMG,Orbicularis_Oculi_Root Mean Square,Orbicularis_Oculi_Waveform Length,Orbicularis_Oculi_Standard Deviation,Orbicularis_Oculi_Zero Crossings,Orbicularis_Oculi_Number of Peaks,Orbicularis_Oculi_Mean Peak Value,Orbicularis_Oculi_Skewness,Orbicularis_Oculi_Difference Absolute Mean Value,Orbicularis_Oculi_Frequency Median,Orbicularis_Oculi_Modified Median Frequency,Orbicularis_Oculi_Modified Frequency Mean,Corrugator_Supercili_Integrated EMG,Corrugator_Supercili_Mean Absolute Value,Corrugator_Supercili_Simple Square Integral,Corrugator_Supercili_Variance of EMG,Corrugator_Supercili_Root Mean Square,Corrugator_Supercili_Waveform Length,Corrugator_Supercili_Standard Deviation,Corrugator_Supercili_Zero Crossings,Corrugator_Supercili_Number of Peaks,Corrugator_Supercili_Mean Peak Value,Corrugator_Supercili_Skewness,Corrugator_Supercili_Difference Absolute Mean Value,Corrugator_Supercili_Frequency Median,Corrugator_Supercili_Modified Median Frequency,Corrugator_Supercili_Modified Frequency Mean
2.6621804454839992,1.165454072118,7424550.0,7.759894156270001,0.003803114922119999,0.00166493438874,10606.5,0.011085563080385715,0.015191631807194838,0.0029763306245599646,78777072850.0,0.12137493148254014,2.173337883718861e-05,4.257983726122983e-06,112699675.03576538,0.00017364081757158817,0.004658576086438375,0.002062013795353591,10608.424741685261,0.013167868440289478,2.7584100157299964,0.9256099978279979,698.0,4.515849994255996,0.004656706956544039,0.002061598002666946,202.0723880197391,0.013159861484210441,255.0,166.0,0.0,111.0,131.0,123.0,348.0,137.0,0.006758719338931297,0.003097361143089431,10782.5,0.01921144419708029,-0.09762251283481385,0.11447463836967256,0.0,0.06887053875965087,4.749642274678125e-06,7.153076967095811e-07,1.0,-2.9885549928469247e-05,0.007589721887693985,0.001487565213610122,14291637.500000007,0.06061368399926187,15.155513896961768,6.885684537455584,3972707.310582384,35.22400029968409,418.10034128271866,366.29755053268,11.454941375215768,337.1514964179577
2.662286821171997,1.2625600595520003,7914550.0,7.735144622711994,0.003803266887388567,0.0018036572279314291,11306.5,0.011050206603874277,0.015273198051260683,0.0037136223472965164,89514442850.0,0.12370783281026694,2.1850068742862208e-05,5.312764445345517e-06,128060719.38483548,0.0001769783015883647,0.004671065655601925,0.0023032965032431596,11308.305598099125,0.013293813427427003,2.7996400050359997,0.945259993979999,698.0,4.7038900060519975,0.004671048687708392,0.0023031436447494597,202.0723880197391,0.013291425397536256,271.0,167.0,0.0,119.0,116.0,107.0,348.0,128.0,0.006825750132758621,0.0036863817345794392,11482.5,0.01936464628125,-0.09915103943566825,0.2994360135115349,0.0,0.12590486308687934,-1.0400572246065802e-05,-4.349069928469242e-06,1.0,5.081545064377688e-05,0.00763654354502979,0.0018565647269224393,14291637.500000007,0.06183169618439524,15.397882437574367,7.563638801688437,4217707.310582383,36.2864575889228,422.29498731409836,344.67295776426613,10.789541803774094,346.4071638544332
2.685623088110001,1.1949681450319998,8404550.0,7.785710887087995,0.003836604411585716,0.0017070973500457139,12006.5,0.01112244412441142,0.01560961087424619,0.003057714146304128,100937812850.0,0.12363713657735818,2.233134602896451e-05,4.374412226472286e-06,144403165.73676682,0.00017687716248549097,0.004722228722337154,0.002090015087540938,12008.200343931641,0.013290014327486535,2.937020013691997,0.918599996288,698.0,4.555179974876004,0.004721834408302769,0.0020895713714303007,202.0723880197391,0.013288425999272942,277.0,154.0,0.0,111.0,129.0,125.0,348.0,139.0,0.0068866269620155044,0.0030595959455999994,12182.5,0.019750637039568343,-0.07781095584494467,0.016972569688293044,0.0,0.23756788358197498,2.8469243204578018e-06,9.012874105865592e-07,1.0,-3.5464950929899864e-05,0.007803502062801181,0.0015282079807053888,14291637.500000007,0.061803792938353634,15.104574740852232,7.066230543360809,4462707.310582385,34.822892871779786,428.41548126623206,348.74205104355514,10.197202320596194,342.11562151746193
2.5146900001499985,1.1524652113039988,8894550.0,7.463956017020006,0.0035924142859285694,0.0016463788732914268,12706.5,0.01066279431002858,0.01385453880829836,0.0028691908265513835,113047182850.0,0.11314668003456978,1.982051331659279e-05,4.104707906368217e-06,161727014.09155938,0.000161869356272632,0.004448842354767034,0.002024560208521976,12708.106684317692,0.012713697901676745,2.8086199976459993,0.9430200022139996,698.0,4.369510003840001,0.0044478882379428465,0.002024299679720049,202.0723880197391,0.012709287146305183,270.0,185.0,0.0,113.0,116.0,116.0,348.0,120.0,0.006553853543965517,0.0030146221560344824,12882.5,0.01897626595,-0.06766159888304876,-0.05715347475813588,0.0,0.1708339223613608,-2.575111587982946e-07,4.163090128755365e-06,1.0,2.03290423462089e-05,0.006924298422030607,0.0014342262176601432,14291637.500000007,0.056534092918533396,14.934041774488213,6.855778664454571,4707707.310582385,32.94389414317157,426.18975047722165,360.64755136326266,9.666516276684717,343.31570392166816
14.311443968513986,1.210868148368001,9384550.0,7.864922986657999,0.02044491995501998,0.0017298116405257157,13406.5,0.011235604266654283,0.6193830320333075,0.0032515481261465055,125842552850.0,0.1270017139696959,0.0008860987582736873,4.6517140574342e-06,180032264.44921315,0.00018169057792517294,0.029746140975002538,0.0021552421561480896,13408.022803530728,0.013469633252494607,5.527929967952002,0.9948100007960003,698.0,4.637880006291996,0.029741712707050033,0.0021541725289201895,202.0723880197391,0.013467791071429727,111.0,185.0,0.0,105.0,73.0,119.0,348.0,134.0,0.050771762876712326,0.0032535905857142854,13582.5,0.019920200052238806,-0.3692315628241448,-0.092924428607976,0.0,0.1268767129864745,-1.6895565522174493e-05,-2.9899857653791058e-06,1.0,-1.8969956509298942e-05,0.30959931616204545,0.0016241607495240406,14291637.500000007,0.06348348872028878,66.68006850295885,7.345399257527815,4952707.310582386,35.427103173772686,197.3800845216654,354.5985370530355,9.188334074654007,336.53378326593605
25.393089881323995,1.2599529974079995,9874550.0,7.795145314662995,0.036275842687605704,0.0017999328534399992,14106.5,0.011135921878089993,1.6323767203083899,0.0036365524086858954,139323922850.0,0.12401500017088819,0.0023353028902838194,5.20250702244048e-06,199318916.80972818,0.0001774177398725153,0.048290441531401426,0.002279270688082326,14107.947246144635,0.013310307508033453,10.549570080620004,0.9584699993520002,698.0,4.624380014159999,0.04828887556904415,0.002278366155444033,202.0723880197391,0.013309176570828722,89.0,172.0,0.0,117.0,94.0,107.0,349.0,127.0,0.07273293721276596,0.0034604004504672895,14282.0,0.019752396637795277,-0.5834745046040036,-0.05705382416705684,0.0,0.15192973558792178,-0.00012370529456366238,1.2408608554912783e-21,1.0,3.7424894134477876e-05,0.8161354263029207,0.0018168333183954891,14291637.500000007,0.06199696334772376,118.6894938479776,7.46446359029215,5197707.310582385,35.35241482606393,193.34280382174262,335.5427945270197,8.755231224921205,342.1893601816996
26.91948297721002,1.155870002529999,10364550.0,7.727516465918006,0.03845640425315717,0.0016512428607571416,14806.5,0.011039309237025723,1.7448659040843615,0.0029793668935304317,153491292850.0,0.12143988628888551,0.002496231622438285,4.262327458555696e-06,219586971.17310444,0.00017373374290255439,0.04992660189982264,0.002063065296913597,14807.878831892163,0.013171391416295584,11.638350079800011,0.9044000059760008,698.0,4.440639991215999,0.04991871635286861,0.0020630474010017025,202.0723880197391,0.01316994269089424,94.0,165.0,0.0,126.0,85.0,114.0,349.0,131.0,0.07610485824705882,0.0030817727868421058,14982.0,0.019219509637404583,-0.5089113308771686,-0.019578912083293664,0.0,0.07994073448273488,4.0729610872675194e-05,-1.745350472103006e-06,1.0,-2.9370530185979943e-05,0.8721573848113545,0.0014896576025729587,14291637.500000007,0.060706586668503607,115.97840025184153,7.00027464666207,5442707.310582386,35.10378488439604,195.8319155158743,349.21105599713354,8.361120072566031,336.04559429609174
19.22881005454399,1.2117900647420001,10854550.0,7.4189843937019955,0.02746972864934856,0.001731128663917143,15506.5,0.010598549133859993,0.8631676574849237,0.0031408766217195802,168344662850.0,0.1108007629142249,0.0012348607403217793,4.493385724920716e-06,240836427.53934193,0.0001585132516655578,0.035115475983530264,0.0021182461147035165,15507.816593576286,0.012581208374523428,7.7898500508199975,0.9415999985319999,698.0,4.516029987920003,0.03510868933769632,0.0021179390888545345,202.0723880197391,0.012580467633394,91.0,168.0,0.0,127.0,108.0,120.0,349.0,126.0,0.05650164397222222,0.0032387026208333335,15682.0,0.018886063623015873,0.058692533684418846,0.1577172423998017,0.0,0.19517210616853928,0.0001164234577968526,3.962804148783974e-06,1.0,5.028612160228897e-05,0.4314170234538049,0.0015699830944342903,14291637.500000007,0.05539385805620589,86.63026427605134,7.109757803302872,5687707.310582387,34.701635590272204,208.18304861098338,358.7008977293787,8.000961874205954,347.11790978226617
17.299755028329987,1.3064711408240006,11344550.0,7.729613685338999,0.024713935754757124,0.0018663873440342867,16206.5,0.01104230526477,0.6970401296556773,0.004343290560539698,183884032850.0,0.1253283575510965,0.0009971961797649175,6.2135773398278936e-06,263067285.90844062,0.00017929664885707653,0.031555849121736916,0.0024909236842526905,16207.759731067092,0.013380602033813005,6.758769953520002,0.9805399967680009,698.0,4.493789996416004,0.031549000801353394,0.0024907703742940187,202.0723880197391,0.013379796972667566,82.0,178.0,0.0,115.0,95.0,98.0,349.0,123.0,0.04289746961052632,0.003991015507142858,16382.0,0.02057685344715447,-0.6844843052077036,0.03601422807974923,0.0,0.1361974677460138,-8.712446351931328e-06,-2.074391959942771e-06,1.0,-3.775393419170243e-05,0.3483688080473291,0.00217137797011127,14291637.500000007,0.06265663846043151,76.44507394137685,8.009946780198302,5932707.310582387,36.00305466121143,193.22880898591106,327.84867112864805,7.670550216161763,333.34215313391076
16.331084022277988,1.2003526391359993,11834550.0,7.315403908887999,0.023330120031825698,0.001714789484479999,16906.5,0.010450577012697143,0.5935511232702846,0.003356723734011323,200109402850.0,0.11166017319567884,0.0008491432378687905,4.802179876983295e-06,286279546.2804006,0.00015974273704675085,0.02911924065116408,0.0021898218238058037,16907.7075767237,0.012629906299600329,6.633249920920003,0.9576500032119997,698.0,4.7034399954080035,0.029118776271177794,0.0021887320068656223,202.0723880197391,0.012627829145740177,100.0,194.0,0.0,131.0,118.0,101.0,349.0,119.0,0.04162368003389831,0.0034622834841584148,17082.0,0.019206147731092443,-0.17124418712169737,0.015006529384797112,0.0,0.1687108295231456,-1.649500429184546e-05,-9.041487610872675e-06,1.0,2.6766809012875525e-05,0.2967660960358176,0.0016766917292573046,14291637.500000007,0.05581172412690179,70.8075165047436,7.463641881520583,6177707.310582386,35.219500711059695,209.00077270759974,349.31095468074824,7.366345968780111,347.443153861918
