Segment Length(ms),Accuracy,Type
50,71.2853930871537,Raw
50,68.1262147021836,Filtered
100,76.09677666334889,Raw
100,72.84281448587397,Filtered
150,78.25083650628822,Raw
150,74.43175262489903,Filtered
200,80.12364760432766,Raw
200,76.59969088098919,Filtered
250,79.6777950310559,Raw
250,76.88276397515527,Filtered
300,80.64138576779027,Raw
300,75.67883895131085,Filtered
350,79.62709075952839,Raw
350,78.3109404990403,Filtered
400,79.82981405609833,Raw
400,76.86731799558777,Filtered
