precision,recall,f1-score,support
0.5678391959798995,0.70625,0.6295264623955432,160.0
0.8106060606060606,0.6407185628742516,0.7157190635451506,167.0
0.7407407407407407,0.5988023952095808,0.6622516556291389,167.0
0.7087912087912088,0.821656050955414,0.7610619469026549,157.0
0.7232704402515723,0.6927710843373494,0.7076923076923077,166.0
0.5878378378378378,0.5403726708074534,0.5631067961165047,161.0
0.7167630057803468,0.7654320987654321,0.7402985074626864,162.0
0.7686567164179104,0.6319018404907976,0.6936026936026937,163.0
0.6186046511627907,0.8012048192771084,0.6981627296587927,166.0
0.4427860696517413,0.5668789808917197,0.49720670391061444,157.0
0.5754716981132075,0.3719512195121951,0.45185185185185184,164.0
0.6505376344086021,0.7159763313609467,0.6816901408450704,169.0
0.5639810426540285,0.7677419354838709,0.6502732240437159,155.0
0.85,0.7083333333333334,0.7727272727272727,168.0
0.6826923076923077,0.4251497005988024,0.5239852398523984,167.0
0.7044025157232704,0.6627218934911243,0.6829268292682926,169.0
0.5,0.7231638418079096,0.5912240184757506,177.0
0.4606741573033708,0.22905027932960895,0.30597014925373134,179.0
0.6885245901639344,0.8442211055276382,0.7584650112866818,199.0
0.6429246769618657,0.6429246769618657,0.6429246769618657,0.6429246769618657
0.6506410459620436,0.642857797055502,0.6361969791853079,3173.0
0.6508328449843125,0.6429246769618657,0.6361806282351581,3173.0
