precision,recall,f1-score,support
0.8472222222222222,0.7625,0.8026315789473685,160.0
0.8263473053892215,0.8263473053892215,0.8263473053892215,167.0
0.8057142857142857,0.844311377245509,0.8245614035087719,167.0
0.8083832335329342,0.8598726114649682,0.8333333333333334,157.0
0.9072847682119205,0.8253012048192772,0.8643533123028392,166.0
0.7784090909090909,0.8509316770186336,0.8130563798219584,161.0
0.8269230769230769,0.7962962962962963,0.8113207547169811,162.0
0.821656050955414,0.7914110429447853,0.8062500000000001,163.0
0.7631578947368421,0.8734939759036144,0.8146067415730336,166.0
0.7532467532467533,0.7388535031847133,0.7459807073954985,157.0
0.7386363636363636,0.7926829268292683,0.7647058823529412,164.0
0.8439306358381503,0.863905325443787,0.8538011695906432,169.0
0.78,0.7548387096774194,0.7672131147540984,155.0
0.8719512195121951,0.8511904761904762,0.8614457831325301,168.0
0.735632183908046,0.7664670658682635,0.750733137829912,167.0
0.8445945945945946,0.7396449704142012,0.7886435331230284,169.0
0.7142857142857143,0.7627118644067796,0.7377049180327869,177.0
0.7218543046357616,0.6089385474860335,0.6606060606060606,179.0
0.8767772511848341,0.9296482412060302,0.9024390243902438,199.0
0.8027103687362118,0.8027103687362118,0.8027103687362118,0.8027103687362118
0.8034740499703905,0.8020709011468041,0.8015649547790131,3173.0
0.8038604606875909,0.8027103687362118,0.8020621395524855,3173.0
