Segment Length(ms),Accuracy,Type
50,71.31206889981327,Raw
50,68.23291795282192,Filtered
100,76.0584947553786,Raw
100,73.46298139499272,Filtered
150,78.71235721703012,Raw
150,73.95869389638861,Filtered
200,79.02627511591963,Raw
200,75.8114374034003,Filtered
250,80.47360248447205,Raw
250,77.69798136645963,Filtered
300,80.52434456928839,Raw
300,76.84925093632958,Filtered
350,79.73676994790239,Raw
350,76.99479023855224,Filtered
400,79.98739363378506,Raw
400,77.05641348881184,Filtered
