precision,recall,f1-score,support
0.7876712328767124,0.71875,0.7516339869281046,160.0
0.8206896551724138,0.7125748502994012,0.7628205128205128,167.0
0.8,0.8143712574850299,0.8071216617210683,167.0
0.7263157894736842,0.8789808917197452,0.7953890489913545,157.0
0.8554913294797688,0.891566265060241,0.8731563421828908,166.0
0.803921568627451,0.7639751552795031,0.7834394904458598,161.0
0.8535031847133758,0.8271604938271605,0.84012539184953,162.0
0.825,0.8098159509202454,0.8173374613003095,163.0
0.7473684210526316,0.8554216867469879,0.797752808988764,166.0
0.7666666666666667,0.732484076433121,0.749185667752443,157.0
0.802547770700637,0.7682926829268293,0.7850467289719627,164.0
0.7840909090909091,0.8165680473372781,0.8,169.0
0.7808219178082192,0.7354838709677419,0.7574750830564785,155.0
0.8930817610062893,0.8452380952380952,0.8685015290519879,168.0
0.7374301675977654,0.7904191616766467,0.7630057803468209,167.0
0.7857142857142857,0.7810650887573964,0.7833827893175074,169.0
0.7267080745341615,0.6610169491525424,0.6923076923076924,177.0
0.6494252873563219,0.6312849162011173,0.6402266288951841,179.0
0.8082191780821918,0.8894472361809045,0.8468899521531101,199.0
0.7856917743460448,0.7856917743460448,0.7856917743460448,0.7856917743460448
0.787087747365973,0.785469298747894,0.7849893977411357,3173.0
0.7866909479457584,0.7856917743460448,0.784909975392753,3173.0
