frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.0,0.0,0.1,0.23399999999999999,0.014000000000000002,0.0,0.0,0.0,0.026000000000000002,0.024,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.0,0.0,0.1,0.238,0.004,0.006,0.0,0.0,0.026000000000000002,0.022,0.0
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.0,0.10400000000000001,0.236,0.0,0.006,0.0,0.0,0.022,0.024,0.0
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.10400000000000001,0.22999999999999998,0.0,0.006,0.0,0.0,0.022,0.022,0.0
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.11000000000000001,0.24,0.0,0.0,0.0,0.0,0.014000000000000002,0.022,0.0
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.10800000000000001,0.256,0.0,0.004,0.0,0.0,0.01,0.022,0.0
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.182,0.0,0.0,0.11000000000000001,0.272,0.0,0.01,0.0,0.0,0.002,0.016,0.0
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.02,0.0,0.012,0.16399999999999998,0.0,0.0,0.11200000000000002,0.27599999999999997,0.0,0.016,0.0,0.0,0.004,0.008,0.0
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.028000000000000004,0.0,0.012,0.124,0.0,0.0,0.11599999999999999,0.282,0.0,0.012,0.0,0.0,0.018,0.0,0.006
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.02,0.028000000000000004,0.0,0.012,0.074,0.0,0.0,0.12,0.29,0.0,0.006,0.008,0.0,0.03,0.0,0.048
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.041999999999999996,0.02,0.016,0.0,0.0,0.026000000000000002,0.0,0.0,0.124,0.29,0.0,0.0,0.028000000000000004,0.0,0.034,0.006,0.096
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.014000000000000002,0.0,0.0,0.002,0.0,0.0,0.132,0.29,0.0,0.0,0.046,0.0,0.024,0.01,0.15
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.036,0.008,0.014000000000000002,0.0,0.0,0.002,0.0,0.0,0.132,0.296,0.0,0.0,0.044,0.0,0.024,0.016,0.158
