frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
25,0.03846151,0.007435741,0.1202533,0.04935735,0.05681365,0.04820906,0.07512798,0.04460412,0.09435276,0.4243185,0.02865268,0.08731088,0.01505198,0.1056553,0.009881511,0.03613357,0.03240186,0.07749993,0.05077714,0.0569839
26,0.03826317,0.006972136,0.1211983,0.04961051,0.05673581,0.04820346,0.07512278,0.04453914,0.09527847,0.4602117,0.02846695,0.08621635,0.01505128,0.1483616,0.009836462,0.03573323,0.03237399,0.07756448,0.05080016,0.05681185
27,0.0380674,0.006537433,0.1274863,0.04978272,0.05659985,0.04820567,0.07511716,0.04451001,0.1041271,0.493867,0.02827714,0.08528613,0.01504968,0.2014604,0.01038138,0.03496746,0.03314254,0.07759704,0.0508456,0.05656699
28,0.03795604,0.006129835,0.1355689,0.05030056,0.05696638,0.04826123,0.07511301,0.04481242,0.1314805,0.5254239,0.02809599,0.08436937,0.01504789,0.2512485,0.01086453,0.03430448,0.03494656,0.07761498,0.05094414,0.05629325
29,0.03794293,0.005747649,0.1458391,0.05059802,0.05740098,0.04830947,0.07511701,0.04500688,0.1573048,0.5550132,0.02791851,0.08280436,0.01504629,0.2979324,0.01128035,0.03425602,0.03660097,0.07769503,0.05097052,0.05602464
30,0.03801183,0.005389292,0.1581419,0.05069561,0.0582261,0.04833367,0.07513345,0.04595405,0.1910696,0.5827577,0.02775049,0.08145694,0.01504545,0.3417057,0.01188568,0.03463255,0.03837669,0.07767947,0.05098444,0.05574922
31,0.03807056,0.005053278,0.1710324,0.05056272,0.05936283,0.04836054,0.07515182,0.04735259,0.2225908,0.6087723,0.02759636,0.08109584,0.01504793,0.3827497,0.01239938,0.03531264,0.04025963,0.07769959,0.0510084,0.05557054
32,0.0384293,0.004738212,0.2025509,0.05033534,0.06126799,0.04845649,0.07517757,0.04860093,0.2521909,0.633165,0.02745391,0.08196931,0.01504968,0.4212346,0.01309737,0.03658534,0.04304066,0.0777628,0.05102525,0.05550603
33,0.03899722,0.004442791,0.2140879,0.05011771,0.06363571,0.04871345,0.07519952,0.04924803,0.2657692,0.6560368,0.02736419,0.08099096,0.01504767,0.4573201,0.01326917,0.0362577,0.05676177,0.07780594,0.05099354,0.05551376
34,0.0391879,0.005172944,0.2235857,0.05003714,0.068425,0.04884328,0.07524659,0.04942991,0.2651533,0.6774825,0.02734428,0.08115856,0.01504641,0.4911557,0.01349461,0.03576668,0.0698587,0.07783842,0.05095036,0.05596925
35,0.0391532,0.004850419,0.2276667,0.04975815,0.07926095,0.04895611,0.07529666,0.05189029,0.2709908,0.6975912,0.02726553,0.09060639,0.01504669,0.5228816,0.01339927,0.0358947,0.07677142,0.07794413,0.05089809,0.05734731
36,0.03897491,0.004548002,0.2289351,0.04939258,0.08774409,0.04914115,0.07531873,0.05453557,0.2734741,0.7164461,0.02726277,0.09879678,0.01504489,0.5526295,0.01325556,0.03576225,0.08802844,0.0780886,0.0508601,0.06054411
37,0.03895274,0.004264441,0.230047,0.04906408,0.09443139,0.0494085,0.07533741,0.05906675,0.2847148,0.7341254,0.02719663,0.1072253,0.01504354,0.5805226,0.01352938,0.03601229,0.09874322,0.07828361,0.050829,0.06698762
38,0.03901492,0.003998559,0.2308971,0.04880132,0.1010122,0.04965243,0.075353,0.0628216,0.299046,0.7507024,0.0271356,0.1149151,0.01504182,0.6066766,0.01403711,0.03615869,0.1087743,0.07840455,0.05079535,0.07279994
39,0.03895867,0.003749256,0.2320495,0.04852312,0.1055966,0.0498728,0.0753618,0.06593709,0.3122238,0.7662459,0.02707106,0.1226374,0.01504051,0.6311999,0.014874,0.03640493,0.1170447,0.07844985,0.05076128,0.07899868
40,0.03890047,0.003515495,0.2329523,0.04826696,0.109677,0.05005316,0.07537345,0.06917256,0.3307524,0.7808203,0.02702335,0.130423,0.01503887,0.6541942,0.0150692,0.03657257,0.1250201,0.07848269,0.05072445,0.08442438
41,0.03875412,0.00329631,0.2333655,0.04797026,0.1123687,0.05022708,0.07539066,0.07190078,0.3440662,0.7944859,0.02702709,0.1387701,0.01503807,0.6757548,0.01526998,0.03706576,0.1307562,0.07845525,0.05069258,0.09203192
42,0.03856076,0.00309079,0.2350511,0.04767193,0.1148142,0.05038762,0.07540089,0.07353771,0.3530067,0.8072995,0.02701478,0.1472639,0.01504224,0.6959713,0.0153672,0.03727586,0.1319716,0.07841395,0.05066371,0.1024616
43,0.03835104,0.002898084,0.2387577,0.0473144,0.1177948,0.05066612,0.07540747,0.07324769,0.3490677,0.8193142,0.0269515,0.1566628,0.01504212,0.7149271,0.01510307,0.03724439,0.1285791,0.07838245,0.05063843,0.156947
44,0.03808469,0.002717392,0.2444908,0.0470005,0.1206046,0.05102566,0.07544044,0.07260384,0.3449216,0.8305798,0.02689208,0.1616655,0.01504205,0.7327011,0.01478084,0.03824029,0.1277929,0.07844151,0.05062053,0.2095106
45,0.03789998,0.002547965,0.2485952,0.04662704,0.1206392,0.05143208,0.07547157,0.07150768,0.3368928,0.841143,0.02693096,0.1700998,0.01504194,0.7493669,0.01449577,0.0383331,0.1233479,0.07883531,0.0506072,0.2587968
46,0.0376921,0.002389103,0.2513781,0.04632383,0.1216312,0.05183445,0.07550904,0.07051066,0.3292474,0.8510475,0.02693327,0.1780031,0.01504704,0.7649937,0.01458585,0.03836809,0.1189567,0.07891869,0.05060376,0.3050101
47,0.03746585,0.002240145,0.2555794,0.04600243,0.1225495,0.05219403,0.07557587,0.06934404,0.3235838,0.8603346,0.02692659,0.1849979,0.01505188,0.7796461,0.01444996,0.03912321,0.1161067,0.07882823,0.05058534,0.3483421
48,0.03724992,0.002100475,0.2769788,0.04572701,0.1245192,0.05250775,0.07594252,0.06867585,0.3205746,0.8690426,0.02694646,0.1917398,0.01505203,0.793385,0.0145023,0.04172594,0.1145535,0.07872902,0.05055997,0.3889723
49,0.03703464,0.001969513,0.3029217,0.04548725,0.1277633,0.05282412,0.07612851,0.06842475,0.3182605,0.8772076,0.02696502,0.1973649,0.01505371,0.8062672,0.01430922,0.0449172,0.117372,0.07869281,0.05053821,0.4270693
50,0.03686025,0.001846716,0.3301213,0.04526068,0.1316636,0.0533323,0.07629698,0.0684981,0.3164274,0.8848636,0.02697984,0.2033726,0.01505661,0.8183463,0.01421605,0.05038227,0.1162394,0.07879274,0.05052831,0.4627909
51,0.03676442,0.001731576,0.3461874,0.04509344,0.1365104,0.05368019,0.07642846,0.06851953,0.3155248,0.8920423,0.02695929,0.2091129,0.01505708,0.8296722,0.01398151,0.05254144,0.1192696,0.07872139,0.05052021,0.4962854
52,0.03665016,0.001623614,0.3524393,0.04488135,0.1392905,0.0538749,0.07647195,0.06815422,0.3120373,0.8987733,0.02689992,0.2143637,0.01505544,0.840292,0.01366021,0.05381615,0.1201599,0.07859323,0.05050487,0.5276915
53,0.03660035,0.001522385,0.3625928,0.04467036,0.1410375,0.0539461,0.0764934,0.06781884,0.3091563,0.9050847,0.02693658,0.2216864,0.01505358,0.8502496,0.01333042,0.05545072,0.1185158,0.07847191,0.05049005,0.5571395
54,0.03680919,0.001427467,0.3672458,0.04445966,0.1414099,0.05415921,0.07655843,0.06746233,0.3036543,0.9110026,0.02697923,0.2363511,0.01505284,0.8595864,0.01313139,0.0562888,0.11613,0.07841758,0.05048002,0.5847514
55,0.03687199,0.001338468,0.3635531,0.04424838,0.1397776,0.05410975,0.07658789,0.06698109,0.2952132,0.9165515,0.02707592,0.2592531,0.01505665,0.868341,0.01297237,0.05695202,0.1138717,0.07840858,0.05046805,0.6106417
56,0.03687263,0.001255017,0.359148,0.04408722,0.1404686,0.0540261,0.0765682,0.06600952,0.2922052,0.9217544,0.02709198,0.2742759,0.01507083,0.8765498,0.01285314,0.05815912,0.1121188,0.07844728,0.05045852,0.6349179
57,0.03687683,0.00117677,0.3533621,0.04399245,0.1419407,0.05397215,0.07652826,0.06507868,0.2891411,0.9266329,0.02718084,0.2923972,0.01507024,0.8842468,0.01261917,0.05900297,0.1100019,0.07860356,0.05044314,0.6309614
58,0.03727608,0.001103401,0.3511791,0.04389346,0.1429052,0.05388658,0.07650751,0.06403814,0.2815232,0.9312073,0.02719897,0.3084579,0.01507764,0.8914639,0.01234584,0.05967813,0.1117245,0.07869855,0.05042573,0.6436917
59,0.03754021,0.001034607,0.3694131,0.04390819,0.1453515,0.05401647,0.07652084,0.06300897,0.280907,0.9340169,0.02727803,0.309018,0.01507981,0.898231,0.01212223,0.05873533,0.121258,0.07881542,0.05041675,0.631162
60,0.03734382,0.000970102,0.3611841,0.04386283,0.1538452,0.0540165,0.07647064,0.06208996,0.2798111,0.9377455,0.02722003,0.3121081,0.01508234,0.9045762,0.01191175,0.05754807,0.1292164,0.07934018,0.05041123,0.6336633
61,0.03714904,0.0009096184,0.3538585,0.04397887,0.1622726,0.05391353,0.07640336,0.06111652,0.2797337,0.9400209,0.0271959,0.30852,0.01508184,0.9105258,0.01168491,0.05632681,0.1391544,0.07975975,0.05040616,0.6174885
62,0.03692004,0.0008529061,0.3474959,0.04414164,0.1692723,0.05384749,0.07633483,0.06023832,0.2829899,0.9413258,0.02719669,0.306571,0.0150854,0.9161044,0.01140488,0.05506562,0.1494648,0.08005092,0.05039886,0.5973442
63,0.03671433,0.0007997299,0.3417662,0.0442328,0.1753625,0.05391641,0.07626964,0.05940937,0.2906813,0.942565,0.02720653,0.3066433,0.01509653,0.9213352,0.01119943,0.05388206,0.1602527,0.08036348,0.05040908,0.5758385
64,0.0365114,0.0007498692,0.3350328,0.04426705,0.1832494,0.05387231,0.07620564,0.05857877,0.3057061,0.9425185,0.02720137,0.3059703,0.01510199,0.9262399,0.01104826,0.05278778,0.1710695,0.08083644,0.05040831,0.5513872
65,0.03632782,0.0007031174,0.3281867,0.04437536,0.1910256,0.05381791,0.07615374,0.05774359,0.323656,0.9431714,0.02721233,0.3060021,0.01510626,0.9273772,0.01095072,0.05206476,0.1759695,0.08104822,0.05040548,0.5251097
66,0.03614119,0.0006592809,0.3186905,0.04439897,0.1974672,0.05387127,0.07610127,0.05690832,0.3477092,0.9423364,0.02720281,0.3052912,0.01511112,0.9172706,0.01083124,0.05172219,0.18017,0.08129293,0.05039857,0.5005816
67,0.0359835,0.0006181774,0.3124556,0.04433176,0.2043819,0.05397548,0.07605405,0.05611136,0.3773481,0.9402324,0.02724302,0.3011362,0.01512198,0.9079719,0.01067719,0.05131049,0.1842726,0.08147256,0.05039644,0.4762866
68,0.03582903,0.0005796363,0.305643,0.04427518,0.2085093,0.05407403,0.07600872,0.05538892,0.4060163,0.9343882,0.02719566,0.2967009,0.01513546,0.9020928,0.0105877,0.0508722,0.1882696,0.08167737,0.05040395,0.4525938
69,0.03568398,0.0005434983,0.3005932,0.04424933,0.2127147,0.05429081,0.07596129,0.05470868,0.4347619,0.9329967,0.02712622,0.2924318,0.01514681,0.9047095,0.01060277,0.0503306,0.1909394,0.0817166,0.05039892,0.4309473
70,0.03554079,0.0005096131,0.2944135,0.04424597,0.2179605,0.05459475,0.07591587,0.05411257,0.4649681,0.9311439,0.0270659,0.2881028,0.0151649,0.9075177,0.0106534,0.05023866,0.1932252,0.08175053,0.05039197,0.4112888
71,0.0354073,0.0004778406,0.2900021,0.04412933,0.2253289,0.05545748,0.07587535,0.05357456,0.4927472,0.9246269,0.02701763,0.2845831,0.01524813,0.9036434,0.0107024,0.04986743,0.1954969,0.0819191,0.05038556,0.3922082
72,0.035329,0.0004480497,0.2865803,0.04403897,0.2374259,0.05617897,0.07583967,0.05305157,0.5207807,0.9209005,0.02699363,0.2823352,0.01541198,0.9017877,0.0107809,0.04908888,0.1987766,0.0821528,0.05037776,0.3748528
73,0.03524736,0.0004201158,0.2824746,0.04392821,0.2474463,0.05661864,0.07580638,0.05256974,0.5463407,0.9179888,0.02697842,0.2795048,0.01548166,0.9032499,0.01096714,0.0485168,0.2019922,0.08239508,0.050368,0.3585066
74,0.03515262,0.0003939236,0.2802921,0.04381832,0.2594711,0.05698027,0.07577569,0.05211443,0.5692726,0.9170804,0.0269777,0.2772238,0.01556105,0.9021844,0.01115188,0.04825556,0.2017158,0.08258291,0.05035979,0.343255
75,0.03505893,0.0003693649,0.2789932,0.04372787,0.2690098,0.05724274,0.07574631,0.05173311,0.5913085,0.9108286,0.0269543,0.2741149,0.01562051,0.9044087,0.0112921,0.04767183,0.2003986,0.08272356,0.05035486,0.3279071
76,0.03495927,0.0003463367,0.2790535,0.04365041,0.2777106,0.05743548,0.07572021,0.05137703,0.6124443,0.9052609,0.0269031,0.2709385,0.0156595,0.906909,0.01146938,0.04716355,0.1990433,0.0828559,0.05034918,0.3134094
77,0.03487747,0.0003247446,0.279751,0.04360911,0.2808611,0.0575838,0.07569284,0.05101794,0.6318526,0.8991925,0.0268385,0.2655641,0.01573814,0.9099186,0.0116208,0.0465088,0.1977743,0.08300587,0.05034452,0.2996238
78,0.03480094,0.000304499,0.2799361,0.04356256,0.2875111,0.05772892,0.07566911,0.0507261,0.6515878,0.8903281,0.02679687,0.2572783,0.01577165,0.9140649,0.01169522,0.04602105,0.1990696,0.08302649,0.05034341,0.2865611
79,0.03472625,0.0002855159,0.2778845,0.0435221,0.2914129,0.05778735,0.07564261,0.05051582,0.6722959,0.8818108,0.02675957,0.2520928,0.01579875,0.917626,0.01181591,0.04522688,0.200104,0.08302294,0.05034636,0.2739534
80,0.0346497,0.0002677156,0.2766983,0.04346235,0.2938281,0.05780025,0.07561814,0.05042794,0.6917048,0.8747634,0.02675993,0.2467163,0.0157959,0.9206994,0.01194016,0.04459625,0.201208,0.08300373,0.05034867,0.2617529
81,0.03456897,0.0002510254,0.2757245,0.04346806,0.2958695,0.05779584,0.07559419,0.0503403,0.7099739,0.86938,0.0267659,0.2443485,0.01579237,0.9256437,0.01202115,0.04410366,0.2035668,0.08299519,0.05035126,0.2498956
82,0.03450919,0.0002353765,0.2744922,0.04343966,0.2956438,0.05800108,0.07557026,0.0505404,0.7280567,0.8599927,0.02683649,0.2375588,0.01579927,0.9301463,0.01201165,0.04337094,0.2062629,0.08292887,0.05035968,0.2386424
83,0.03446959,0.0002207035,0.2723797,0.0434252,0.2962116,0.05797316,0.07554707,0.05076127,0.7450122,0.848352,0.02690846,0.2293831,0.01581623,0.9335858,0.01212956,0.04266348,0.2087237,0.08282135,0.05037062,0.2280861
84,0.03441578,0.0002069458,0.2710872,0.04344622,0.2964734,0.05792223,0.07552671,0.05127835,0.7609104,0.8397583,0.02700759,0.2207763,0.01581099,0.9377266,0.01219848,0.04203887,0.2122574,0.0827577,0.05037838,0.218051
85,0.03437506,0.0001940455,0.2681345,0.04341456,0.2972238,0.05763355,0.07550533,0.05166793,0.7758174,0.8331288,0.02703528,0.212639,0.01579795,0.9416093,0.01238845,0.04149666,0.2149691,0.08268045,0.05038275,0.2087068
86,0.03434067,0.0001819496,0.2650398,0.0434139,0.2981701,0.05733235,0.07548671,0.05210575,0.789795,0.8250104,0.02707102,0.2054102,0.01578758,0.9442124,0.0124709,0.041085,0.2179563,0.08264565,0.05038495,0.1997215
87,0.03430984,0.000170607,0.2603113,0.04336241,0.2994196,0.05712019,0.0754669,0.05239056,0.802901,0.8179525,0.0270887,0.198404,0.01576657,0.9466875,0.01246209,0.04046071,0.2209293,0.08262441,0.05038197,0.1914478
88,0.03428016,0.0001599718,0.2571701,0.04332276,0.2994907,0.05683023,0.07544889,0.0527305,0.8140259,0.8113521,0.02711006,0.1928597,0.01576601,0.948623,0.01242724,0.0399077,0.2228697,0.08260729,0.0503783,0.1842136
89,0.03425984,0.0001499993,0.2534772,0.04329144,0.2998049,0.05654304,0.07543217,0.053056,0.8251792,0.8059332,0.02713282,0.1870041,0.01575167,0.9498711,0.01251524,0.03942631,0.2245936,0.08259221,0.05037337,0.1774019
90,0.03422509,0.0001406483,0.2492638,0.04326629,0.3013477,0.05640078,0.07541796,0.05321181,0.8353583,0.798938,0.02713523,0.1813982,0.01573728,0.950381,0.01264888,0.0389898,0.2272457,0.08265039,0.0503712,0.1708435
91,0.0341904,0.000131885,0.2458443,0.04325655,0.3062086,0.05656018,0.07541159,0.0533996,0.8328177,0.788658,0.02719869,0.1811084,0.01571831,0.9492038,0.01298936,0.03938547,0.2301078,0.08291304,0.05037158,0.1792517
92,0.03465966,0.0001236684,0.2452362,0.04314579,0.3065509,0.05632986,0.07541344,0.05420037,0.8220227,0.7672924,0.02730878,0.1732255,0.01571066,0.9216828,0.0132202,0.03890338,0.234758,0.08288254,0.05038099,0.2304245
93,0.03515872,0.0001159619,0.2458063,0.0430718,0.3121442,0.05603496,0.07541656,0.05402386,0.8187268,0.7575327,0.02730162,0.1655784,0.01569795,0.9130572,0.01317822,0.03851583,0.2460694,0.08310364,0.05041707,0.2784068
94,0.03609531,0.0001087336,0.2455802,0.04295687,0.3116059,0.0559576,0.0754352,0.05466853,0.8056418,0.7385703,0.02740246,0.1585228,0.01568333,0.9112749,0.01343291,0.03831553,0.2608381,0.08353367,0.05044295,0.3233974
95,0.03658147,0.0001019568,0.245953,0.04284028,0.3111111,0.05580962,0.07546443,0.05561975,0.79681,0.7231926,0.02746482,0.152521,0.01569589,0.8997992,0.01369537,0.03795547,0.2687802,0.0838903,0.050446,0.3655829
96,0.03648594,9.560338e-05,0.2454833,0.0427731,0.3094307,0.05562871,0.07547852,0.05680493,0.7891479,0.706577,0.02747353,0.1489135,0.01570427,0.891326,0.01399758,0.03801743,0.2715435,0.08438584,0.0504443,0.4026879
97,0.03637797,8.964513e-05,0.2451246,0.04272075,0.3073014,0.05553753,0.07548852,0.05833299,0.7780599,0.6932358,0.02746694,0.151492,0.01569866,0.8915955,0.014397,0.03819916,0.2743042,0.08486956,0.0504422,0.403026
98,0.03626344,8.405834e-05,0.244812,0.04267555,0.304558,0.05551058,0.07551315,0.05926639,0.7689775,0.683691,0.02743121,0.1500915,0.01571214,0.8914418,0.01449518,0.03838278,0.2756269,0.08537611,0.05044017,0.3975495
