frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
25,0.0404539,0.04907804,0.1032262,0.05150737,0.07403177,0.05043115,0.07513719,0.04383615,0.1073981,0.2672836,0.03328858,0.07458817,0.015074,0.1909902,0.01738687,0.03928085,0.02869801,0.07598469,0.05027812,0.06646165
26,0.04064757,0.04929253,0.1028556,0.05089567,0.07393111,0.0504534,0.07513855,0.04383757,0.1086957,0.2664535,0.03317968,0.07300318,0.01507151,0.1898791,0.01710227,0.03868706,0.02870776,0.07597243,0.05027682,0.07036833
27,0.04039667,0.04621919,0.1103159,0.05022821,0.07508469,0.05093172,0.07522048,0.04381086,0.1068966,0.2683774,0.03330985,0.07163994,0.0150686,0.1934181,0.01679784,0.03787383,0.02876287,0.0761662,0.0502683,0.12833
28,0.04068248,0.04333748,0.1232904,0.04960284,0.07572933,0.05134026,0.07535929,0.043857,0.1059667,0.2701564,0.03369153,0.0714647,0.01506775,0.1963748,0.01652283,0.03716724,0.02923018,0.07621817,0.05025962,0.1826777
29,0.04181768,0.04063543,0.1516635,0.04901907,0.07647485,0.05168559,0.0753962,0.04385807,0.1060866,0.2756159,0.03355317,0.06939652,0.01506534,0.1942241,0.01632142,0.03674599,0.0293263,0.07626781,0.05025927,0.233637
30,0.04369334,0.03810186,0.1933224,0.04847636,0.07710122,0.05168784,0.07538544,0.04385535,0.106204,0.2867835,0.03338898,0.06752385,0.01506493,0.1940231,0.01622824,0.03769629,0.02922297,0.07623507,0.05025721,0.2307604
31,0.04534468,0.03572625,0.2285476,0.04796444,0.07737352,0.05165642,0.07536851,0.04384902,0.1062474,0.3009583,0.03328509,0.06589083,0.01506821,0.1940391,0.01657345,0.03874745,0.02910325,0.07619545,0.05025373,0.2221565
32,0.04678372,0.03349876,0.259539,0.04750188,0.07787906,0.05157352,0.07535035,0.04382014,0.1078057,0.3110115,0.03340343,0.06473556,0.01506875,0.1927385,0.01716576,0.04012586,0.02896437,0.07616383,0.05025111,0.2126134
33,0.05105128,0.03230542,0.3018572,0.04713595,0.07741769,0.05144019,0.07533277,0.04381739,0.1091171,0.310391,0.0339616,0.06383587,0.01506701,0.1910858,0.01787092,0.04158819,0.02889457,0.07612918,0.05024737,0.203142
34,0.05563011,0.03150196,0.343176,0.04689685,0.07729652,0.05132775,0.07531554,0.043803,0.1111056,0.3067716,0.0346018,0.06310326,0.01506513,0.1874897,0.01855595,0.04252869,0.02885831,0.0760989,0.05024584,0.1940275
35,0.05842583,0.0311168,0.3828028,0.04706893,0.07715015,0.05122619,0.0752997,0.04378213,0.1129601,0.3004443,0.03549386,0.06312535,0.01506367,0.1835717,0.01930407,0.04336749,0.02881023,0.07607244,0.05023961,0.1854188
36,0.06024984,0.03041408,0.4212845,0.04776913,0.07691781,0.05116031,0.07528412,0.04377827,0.1137283,0.293138,0.03669358,0.06354466,0.01506269,0.1796966,0.01949893,0.04415175,0.02878203,0.07604337,0.05023374,0.1772367
37,0.06120976,0.02980047,0.4550961,0.04856891,0.07647934,0.05110776,0.07526995,0.04377588,0.1134541,0.2863801,0.03739348,0.06382149,0.01506193,0.1758867,0.01981516,0.04526611,0.02883815,0.07601947,0.05022765,0.1695164
38,0.06263527,0.02915631,0.4878713,0.04932134,0.07574889,0.0510511,0.07525717,0.04377455,0.1128727,0.2807874,0.03847199,0.06409356,0.01506214,0.1717506,0.02018643,0.04704999,0.0289214,0.07600491,0.05022202,0.1622597
39,0.06385475,0.02757877,0.519802,0.05019434,0.07515307,0.05102523,0.07524543,0.0437637,0.1124847,0.2763651,0.03934671,0.06518562,0.0150627,0.1700298,0.02092268,0.04840573,0.02884185,0.0759851,0.05021519,0.1554243
40,0.06484473,0.02585927,0.5497419,0.0517488,0.07450069,0.05101049,0.07523493,0.04376011,0.1106835,0.2754053,0.0405207,0.07218582,0.01506397,0.169377,0.02253825,0.05044988,0.02874056,0.07596415,0.05021226,0.1489638
41,0.06675296,0.02480528,0.5778149,0.05413753,0.07368717,0.05102301,0.07522572,0.04377644,0.10927,0.2740439,0.0413882,0.08123665,0.01506559,0.1721162,0.02559257,0.0528617,0.02866973,0.07595479,0.05020972,0.1429038
42,0.06988832,0.02387386,0.6041378,0.05644007,0.07294334,0.0510292,0.07521603,0.04380183,0.1078798,0.2741802,0.04168922,0.09061355,0.01506696,0.1762215,0.02884419,0.05539922,0.02862207,0.0759378,0.05020635,0.1372339
43,0.07420173,0.02369937,0.6288195,0.06078018,0.07270025,0.05107751,0.07520615,0.04380995,0.1080494,0.2714804,0.04208853,0.09500395,0.01506674,0.1776884,0.03080432,0.05892885,0.02860134,0.07591179,0.05020463,0.1318895
44,0.07798621,0.02334661,0.6519622,0.06422184,0.07250524,0.05111434,0.07519688,0.0438236,0.108196,0.2691798,0.04217415,0.09849587,0.01506717,0.1789979,0.03167574,0.06018753,0.02856041,0.07589256,0.05020265,0.1268888
45,0.08386659,0.02321551,0.673662,0.07004325,0.07242769,0.05118136,0.07518875,0.0438278,0.108609,0.2665374,0.04214485,0.103176,0.01506772,0.1811366,0.03278294,0.06254352,0.02850067,0.07587974,0.05020138,0.122184
46,0.0873808,0.02289284,0.6940089,0.07918154,0.07216791,0.05130823,0.07518189,0.04384162,0.1070049,0.2651341,0.04178539,0.1105653,0.01507196,0.1835996,0.03555048,0.0640905,0.02844083,0.07586222,0.05020045,0.1177797
47,0.08941457,0.02146551,0.7130871,0.08708918,0.0718924,0.05147099,0.07518187,0.04393352,0.1072042,0.2802753,0.04125967,0.1341079,0.01509111,0.1987055,0.04776587,0.07187225,0.02839137,0.07583797,0.05019829,0.1136523
48,0.08936548,0.02012716,0.7309759,0.08963744,0.07205928,0.05183137,0.07520218,0.04444907,0.1080762,0.3251494,0.0404456,0.1817371,0.01509813,0.2486654,0.06455423,0.08200943,0.028981,0.07586771,0.050217,0.1098181
