frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
28,1.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.022,0.041999999999999996,0.0,0.016,0.006,0.0,0.0,0.118,0.016,0.022
29,1.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.08199999999999999,0.0,0.016,0.048,0.0,0.016,0.004,0.0,0.0,0.11399999999999999,0.018,0.022
30,1.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.078,0.0,0.016,0.041999999999999996,0.0,0.018,0.004,0.0,0.0,0.122,0.012,0.03
31,1.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.08199999999999999,0.0,0.016,0.044,0.0,0.024,0.004,0.0,0.0,0.122,0.014000000000000002,0.03
32,1.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.078,0.0,0.012,0.041999999999999996,0.0,0.028000000000000004,0.006,0.0,0.0,0.126,0.02,0.02
33,1.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.08,0.0,0.008,0.044,0.002,0.026000000000000002,0.01,0.0,0.0,0.124,0.028000000000000004,0.01
34,1.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.08199999999999999,0.0,0.01,0.044,0.002,0.014000000000000002,0.006,0.0,0.0,0.128,0.02,0.0
35,1.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.01,0.041999999999999996,0.002,0.014000000000000002,0.004,0.0,0.0,0.11000000000000001,0.012,0.0
36,1.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.01,0.041999999999999996,0.0,0.01,0.0,0.0,0.0,0.096,0.008,0.0
37,1.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.008,0.04,0.0,0.01,0.0,0.0,0.0,0.088,0.012,0.006
38,1.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.006,0.038,0.0,0.004,0.002,0.0,0.004,0.086,0.008,0.006
39,1.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.041999999999999996,0.0,0.002,0.002,0.0,0.004,0.088,0.014000000000000002,0.014000000000000002
40,1.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10200000000000001,0.0,0.006,0.036,0.0,0.008,0.002,0.002,0.004,0.08,0.012,0.006
41,1.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.008,0.038,0.0,0.01,0.0,0.002,0.0,0.086,0.024,0.006
