frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.03469954,0.06908257,0.07597572,0.04676607,0.06781179,0.05023853,0.0752243,0.04336065,0.03311764,0.06498908,0.02844957,0.03466577,0.01573981,0.05406968,0.01274477,0.03132837,0.03283507,0.08453756,0.05171898,0.05053475
1,0.03467658,0.06755918,0.07600281,0.04639941,0.06793076,0.05045392,0.0752188,0.04336051,0.03303963,0.06479403,0.02846021,0.03457086,0.01576819,0.05390576,0.01279196,0.03149584,0.03263457,0.08428735,0.05164741,0.05066727
2,0.03466481,0.06729273,0.07602368,0.04605217,0.06776112,0.05071479,0.07521501,0.04336663,0.03298834,0.06499793,0.02846387,0.03437384,0.01579506,0.05375379,0.01275701,0.03162761,0.03241638,0.08392623,0.05158353,0.05079099
3,0.03467228,0.06427973,0.07604027,0.04571385,0.06864966,0.05320846,0.07521332,0.04352462,0.03319566,0.06515511,0.02839865,0.03413747,0.01577492,0.05357932,0.01262168,0.03115382,0.03217946,0.08359053,0.05151833,0.06763576
4,0.03461396,0.06289358,0.07604683,0.04540344,0.06928647,0.05565125,0.07521007,0.04360459,0.03339547,0.06534906,0.02838264,0.03386668,0.01576088,0.05342264,0.01243114,0.03088541,0.03204757,0.08318515,0.05148033,0.06785291
5,0.03469075,0.0641278,0.07606979,0.04514935,0.06914352,0.05611796,0.0752041,0.04365748,0.03354895,0.06627007,0.02837688,0.0336135,0.01575138,0.05327151,0.0123247,0.03102753,0.03185907,0.08277167,0.05142928,0.06696998
6,0.03482676,0.06520335,0.07610728,0.04527421,0.06889948,0.0558854,0.07520045,0.04369048,0.03371111,0.06727116,0.0283294,0.03340114,0.01575861,0.05312949,0.01225893,0.03127178,0.03174208,0.08241378,0.05139377,0.0659894
7,0.03497027,0.07095609,0.07613163,0.04545777,0.06862375,0.05559765,0.07519825,0.04372098,0.03376292,0.06792426,0.02834873,0.03333497,0.01579256,0.05299095,0.01236233,0.03156594,0.0316312,0.08209526,0.05137859,0.06505348
8,0.03500026,0.07525842,0.07617176,0.0456541,0.0686072,0.05535903,0.07519785,0.0438145,0.03384219,0.06823511,0.02851403,0.03327657,0.01583254,0.05285454,0.01255466,0.03240983,0.03147534,0.08177641,0.05138683,0.06415912
9,0.03499912,0.07953442,0.07622053,0.04582435,0.06844588,0.05511691,0.0751976,0.04391247,0.03390965,0.06855001,0.0287605,0.0332217,0.01587173,0.05272407,0.01274505,0.03321195,0.0313221,0.08148546,0.05140925,0.06332763
10,0.03506735,0.08838584,0.07629453,0.04590392,0.06824133,0.05491193,0.07520034,0.04416025,0.03398954,0.06869445,0.02901064,0.0331535,0.0158827,0.05258917,0.01288554,0.03393459,0.03111579,0.08122612,0.05146041,0.06257615
11,0.0351653,0.09752209,0.07639025,0.04605678,0.06798743,0.0547309,0.07520518,0.044516,0.03407566,0.0691533,0.02932831,0.03315005,0.01588099,0.0524611,0.01291049,0.03556105,0.03089677,0.08099099,0.05149394,0.06187931
12,0.0351809,0.1006213,0.07651154,0.04605396,0.06777892,0.05458079,0.07521456,0.04524132,0.0342018,0.06970935,0.02976681,0.03321465,0.01587751,0.05233501,0.01288819,0.03686681,0.03064715,0.0808846,0.05153653,0.06127719
13,0.03516003,0.09784039,0.07659817,0.04594183,0.06755776,0.05451209,0.07523425,0.04610013,0.03432226,0.07066118,0.03018042,0.0332289,0.01586985,0.05222115,0.01279207,0.03835735,0.03037023,0.08074948,0.05154379,0.06075615
14,0.03522075,0.09453309,0.07667604,0.04587718,0.06736206,0.05450079,0.07525413,0.04706322,0.03442008,0.0716975,0.03069101,0.03334529,0.0158629,0.0521068,0.01299638,0.04016212,0.03010698,0.08061218,0.05154634,0.06022217
15,0.03530698,0.09027402,0.07679506,0.04577382,0.06708024,0.05463572,0.07528979,0.04818412,0.03441516,0.07284955,0.03095318,0.0334488,0.01585119,0.05200016,0.01311847,0.04222203,0.02989972,0.0804101,0.05153866,0.05970832
16,0.03541264,0.08631319,0.07686496,0.04571127,0.06672319,0.05486941,0.07532091,0.04950382,0.03434618,0.07334451,0.03119714,0.03355679,0.01584268,0.0518987,0.01321481,0.04496606,0.02969702,0.08019504,0.05149689,0.05921356
17,0.0354764,0.08224953,0.07692031,0.0456005,0.06628142,0.05520531,0.07537264,0.05111746,0.03423948,0.0731336,0.0315133,0.03361079,0.01584088,0.05180492,0.01345699,0.04744284,0.02950404,0.07997547,0.05143402,0.05875443
18,0.03557787,0.07822835,0.07696256,0.04548894,0.06584762,0.05561841,0.07542304,0.05286776,0.03412532,0.07270718,0.03172106,0.03366146,0.01587033,0.05171841,0.01383524,0.05059,0.02931711,0.07979289,0.051373,0.05830693
19,0.03564447,0.07477878,0.07699976,0.04541194,0.06541026,0.05594756,0.07546944,0.05514849,0.03401823,0.07231615,0.03195643,0.03371902,0.0159039,0.05163738,0.01402811,0.05314199,0.02913784,0.07963427,0.05131716,0.05787527
20,0.03577287,0.07130747,0.07702228,0.04534818,0.06493712,0.0563321,0.07551352,0.05777468,0.03385203,0.07171223,0.03216696,0.03372945,0.01595929,0.05156673,0.01409437,0.05561624,0.02897699,0.07945164,0.05126154,0.0574774
21,0.03587816,0.06849742,0.07705563,0.04531551,0.06443917,0.05668714,0.07556983,0.06191311,0.03362275,0.07127156,0.03232522,0.03368199,0.01606129,0.05151215,0.01411136,0.05777695,0.02884744,0.07927986,0.05120748,0.05711631
22,0.03602269,0.06604046,0.07706638,0.04531194,0.06398401,0.05687072,0.07561274,0.06833737,0.0334396,0.07092354,0.03237268,0.03363276,0.01613764,0.0514595,0.01402691,0.05946725,0.02872168,0.07912135,0.05116519,0.0567624
23,0.03604993,0.06312268,0.07707112,0.04531642,0.06356421,0.05701126,0.0756607,0.07752965,0.03330212,0.070685,0.03245263,0.03363541,0.01619234,0.05141375,0.01389307,0.06072805,0.02861759,0.07897718,0.05112771,0.05642268
24,0.03604767,0.0601388,0.07706173,0.04534643,0.06319819,0.05711969,0.07570564,0.08649234,0.0331981,0.07063765,0.0324463,0.0336231,0.01626247,0.05137754,0.01384118,0.06225152,0.0285386,0.07883701,0.05109572,0.05610055
25,0.03598058,0.0571662,0.07704923,0.04542996,0.06283379,0.05722989,0.07574656,0.09407258,0.03312231,0.07047189,0.03241727,0.03366456,0.01633181,0.05133502,0.01391303,0.06370673,0.02845108,0.0786988,0.05106444,0.05578882
26,0.03593068,0.05436621,0.07703784,0.04552062,0.06252107,0.05741494,0.0757876,0.1026516,0.03307988,0.07026977,0.03245888,0.03378541,0.01635248,0.05129458,0.01397804,0.06538501,0.02837985,0.07857236,0.05103502,0.0555023
27,0.03590016,0.05164668,0.07702555,0.04555522,0.06228494,0.05754756,0.07580124,0.1099071,0.03307804,0.07008962,0.03251951,0.03390153,0.01636046,0.05125351,0.01406776,0.06674776,0.02830881,0.07846314,0.05100974,0.05523086
28,0.03587101,0.04896879,0.07701191,0.04556293,0.06212083,0.05764639,0.07579955,0.1149307,0.03311641,0.07001571,0.03264926,0.03411837,0.01634702,0.0512094,0.01421168,0.06808335,0.02824186,0.07836238,0.05099434,0.05497822
29,0.03587402,0.04644011,0.07700496,0.04559733,0.06200822,0.05767764,0.07579567,0.1186966,0.03317194,0.07016594,0.03276084,0.03440071,0.01632108,0.05116932,0.01440451,0.06895735,0.02819251,0.07827915,0.05097179,0.05474349
30,0.03586004,0.04377595,0.07698787,0.04561527,0.06190622,0.05772923,0.07578953,0.1204457,0.03325578,0.07033656,0.03288038,0.03470238,0.01629506,0.05112803,0.01458065,0.06999645,0.02813622,0.07819563,0.05095555,0.05452688
31,0.03586652,0.04125369,0.07698128,0.04558918,0.06179828,0.05782715,0.07579009,0.1213781,0.03334122,0.07046556,0.03302868,0.03504822,0.01627802,0.05108836,0.01482342,0.07161818,0.02808144,0.07813139,0.05094488,0.05432621
32,0.03587883,0.0387012,0.07697587,0.04556233,0.06167288,0.05789589,0.07579191,0.122218,0.0334268,0.07051001,0.03312441,0.03534021,0.01626237,0.05105171,0.01500746,0.07295632,0.02805275,0.07808187,0.05092985,0.0541402
33,0.03588969,0.03628823,0.07696836,0.04554215,0.0616234,0.05790471,0.07578548,0.1221396,0.03352384,0.07062764,0.03321204,0.03571428,0.01623225,0.05101548,0.01521627,0.07447426,0.02802806,0.07804975,0.05091586,0.05396752
34,0.03589343,0.03409225,0.07697544,0.0455295,0.06163818,0.05785567,0.07578299,0.1215392,0.03363545,0.07068985,0.03322978,0.03601059,0.01619878,0.0509828,0.01531944,0.07528024,0.02801573,0.07804589,0.05090139,0.05380783
35,0.03589279,0.03244205,0.07698177,0.045554,0.06167388,0.05775026,0.07577017,0.1206015,0.03367886,0.07094192,0.0332467,0.0362337,0.01616157,0.05094865,0.01533386,0.07565542,0.02803383,0.07806204,0.05088651,0.05364126
36,0.03592747,0.03136656,0.07700006,0.04560062,0.06171405,0.0576294,0.07578051,0.1208739,0.03372354,0.0710988,0.03333522,0.03650759,0.01613197,0.05091644,0.01539263,0.07537537,0.02802837,0.07809391,0.05087731,0.05347123
37,0.03602231,0.03165016,0.07701679,0.04569674,0.06179613,0.05764204,0.07585716,0.1207745,0.03370675,0.07071687,0.03344841,0.03670107,0.01613562,0.05089699,0.01538421,0.07457094,0.02801076,0.07811397,0.05089132,0.0533261
38,0.03607285,0.03366708,0.07704816,0.04592114,0.06185936,0.0575276,0.07595692,0.1174436,0.03361,0.07011438,0.03335297,0.03673849,0.01617481,0.05087001,0.01532414,0.07237883,0.02799129,0.07808325,0.05097932,0.05319782
39,0.03603274,0.03625166,0.07711684,0.04606456,0.06184531,0.05737415,0.0759955,0.1134473,0.03359121,0.0696797,0.03316856,0.03661828,0.01618907,0.05084078,0.01535191,0.07022437,0.0279746,0.07804381,0.05105133,0.05309201
40,0.0360101,0.0393588,0.07720426,0.04616687,0.06203739,0.05718959,0.07599618,0.1096067,0.03361292,0.06934601,0.03298072,0.03663145,0.01617599,0.05082138,0.0156322,0.06768773,0.02810365,0.07800182,0.05114051,0.05297823
41,0.03606465,0.04592796,0.07732049,0.04620573,0.06226113,0.05696493,0.07596612,0.1058065,0.0336179,0.06922883,0.03292567,0.03660594,0.01618106,0.05081195,0.01580508,0.06546751,0.02819308,0.07794481,0.05128764,0.05287349
42,0.03611404,0.05192358,0.07744611,0.04627486,0.06252154,0.05673482,0.07593779,0.1022782,0.03362919,0.06905279,0.03290274,0.03658238,0.01619454,0.05080971,0.01600686,0.06345142,0.02830294,0.07787128,0.05143093,0.05278114
43,0.03612976,0.05424011,0.07755297,0.04624044,0.06258653,0.05651021,0.07590496,0.09890642,0.03365218,0.06876212,0.03288002,0.03636016,0.01621741,0.05080866,0.01645788,0.06152996,0.02839378,0.07780697,0.05150949,0.05269893
44,0.03613801,0.05626293,0.07763911,0.04619109,0.06260979,0.0562705,0.07586855,0.09568313,0.03366819,0.06853333,0.03284949,0.03614803,0.0162285,0.05081317,0.01672884,0.0596984,0.02847803,0.07773129,0.05161665,0.05262658
45,0.03613324,0.05848286,0.07772414,0.04612195,0.06267636,0.05602235,0.07583189,0.09264101,0.03367236,0.06834414,0.03277932,0.03596706,0.01622546,0.05081674,0.01696228,0.05802345,0.02857295,0.07766273,0.05173397,0.05255731
46,0.03611765,0.0592437,0.07780232,0.04605394,0.06269783,0.05575956,0.07579257,0.08973241,0.03366123,0.06814021,0.03269232,0.03577408,0.01621714,0.05082792,0.01717115,0.05636913,0.02865105,0.0776034,0.05182523,0.05248266
47,0.03612649,0.0599402,0.07785353,0.04609358,0.06272191,0.0555012,0.07575443,0.08699105,0.03364902,0.06789249,0.03256892,0.03564773,0.01620538,0.05083444,0.01725626,0.05479041,0.02877818,0.07756332,0.05193503,0.05240005
48,0.03616391,0.06048141,0.07788971,0.04612087,0.06272368,0.0552488,0.07571661,0.08438088,0.03364557,0.0677483,0.03245616,0.03548972,0.01619234,0.05084889,0.01729772,0.05334582,0.02891306,0.07750964,0.05205979,0.05232578
49,0.0361517,0.06004722,0.07792705,0.04613347,0.06266411,0.05501523,0.07568026,0.08192758,0.03364472,0.06773196,0.03235113,0.03535171,0.01617462,0.05086199,0.01730337,0.05188026,0.02916421,0.07746564,0.0521583,0.05227038
50,0.03614291,0.05928444,0.07795207,0.04608569,0.06251832,0.05481736,0.07564685,0.07963176,0.03356224,0.06760207,0.03232507,0.03523173,0.01615319,0.05087897,0.01725011,0.05056006,0.02933365,0.07743371,0.05222627,0.05223664
51,0.03608977,0.05886038,0.07797939,0.04606998,0.06242619,0.05461837,0.07561503,0.07745846,0.03347022,0.06762013,0.03238726,0.03515626,0.01612554,0.0509,0.01715695,0.04931069,0.02956872,0.07741708,0.05231335,0.05221216
52,0.03603576,0.0582605,0.07801094,0.04601795,0.06233739,0.05449181,0.07558479,0.075406,0.03337575,0.06753091,0.03233219,0.03500084,0.01609755,0.05091943,0.01701655,0.04814385,0.02977349,0.07737521,0.05239019,0.05218719
53,0.0359857,0.05698868,0.0780403,0.04592196,0.0622005,0.05435524,0.07555569,0.07348138,0.03330231,0.06737214,0.03224965,0.0348334,0.0160682,0.05093803,0.01694296,0.04695807,0.0299351,0.07735005,0.05247669,0.05216047
54,0.03595288,0.05579121,0.07806747,0.04582886,0.06215043,0.05424559,0.07552879,0.0716972,0.03320988,0.0672175,0.0321788,0.03476236,0.01604561,0.05095866,0.01689105,0.04598682,0.03000298,0.0773151,0.05262222,0.05213262
55,0.03596891,0.05520568,0.07811178,0.04577053,0.06204331,0.05413866,0.07550314,0.07001103,0.03312252,0.06707677,0.03209744,0.03469321,0.01601693,0.05098375,0.01675353,0.0449776,0.03007881,0.07728429,0.05273302,0.05210881
56,0.03598261,0.05437762,0.07812136,0.045738,0.06188847,0.05403191,0.07547963,0.06843226,0.03303849,0.06685103,0.0319791,0.03456257,0.01599237,0.05100203,0.01667637,0.04400895,0.03013513,0.07725476,0.05281878,0.05207815
57,0.03602933,0.05409595,0.0781168,0.04571237,0.06174895,0.05391506,0.07545663,0.06695068,0.03295334,0.06672775,0.03196334,0.03452481,0.0159712,0.05102973,0.01664569,0.04319998,0.03017319,0.07722971,0.05290097,0.05206526
58,0.03607281,0.05347568,0.07809316,0.04572802,0.06155002,0.05380558,0.07543576,0.06556652,0.03287421,0.06662606,0.03194086,0.03452042,0.01595221,0.05106127,0.01664704,0.04246483,0.03025071,0.07720482,0.05301149,0.05207273
59,0.03610769,0.05337097,0.07808618,0.04577536,0.0613788,0.05374733,0.07541724,0.06429245,0.03281064,0.06649568,0.03195066,0.03461778,0.01593556,0.05108067,0.01669854,0.04182976,0.03035684,0.07719328,0.053094,0.05210342
60,0.03614073,0.05303877,0.07806385,0.04565464,0.06131109,0.05377953,0.07540284,0.06312795,0.03274459,0.06657892,0.03202239,0.03468848,0.01592019,0.05109681,0.01666325,0.0412242,0.03041443,0.07719789,0.0531675,0.05219462
61,0.03619635,0.05244907,0.07808002,0.04555419,0.06124707,0.05377629,0.07538798,0.06203206,0.03269399,0.06653374,0.03198103,0.03466585,0.01590661,0.05110172,0.01660629,0.04066558,0.03045895,0.07717928,0.05322037,0.05224811
