frame,Timestamp,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0.0,160,0.05595697420429059,0.07715467719654778,0.14244665066693307,0.049202281347976794,0.0751084889268834,0.4276623654550679,0.0029582952120687472,0.006537692083586699,0.0015283067460678112,0.04581482404126432,0.030709324316849633,0.06224108591352098,0.24830631207754586,0.021030700011277232,0.13885960066668687,0.05947598401312419,0.0006703946264320498,0.004253283208887929,0.0020724018823384035,0.027523073970295114
1.0,200,0.05536132573808782,0.07636698577991494,0.14412238990752343,0.048608243023769794,0.07516668616202613,0.42898302045672104,0.002910298369004614,0.006877104087216675,0.0016288917949217583,0.04811121667194371,0.03234889948427054,0.06384698053504809,0.244342270543623,0.023861111965298193,0.14214847365361974,0.061490745977729036,0.0007128576126868287,0.0045558348922286485,0.002418416964980599,0.029500282585042815
2.0,240,0.05402274881573323,0.07398251878058598,0.1474224365262137,0.04662157660713492,0.07867653316740927,0.44299590318855614,0.0031747543381087074,0.006805450972123789,0.0017197194114772685,0.04956525021224395,0.030625279452442308,0.0631028722196378,0.25380400894558314,0.02339387543342452,0.1480349352648667,0.06251763845375881,0.000734327042580945,0.004647536976699448,0.002567862454997373,0.02972672679709907
3.0,280,0.053775975416390044,0.073129810529707,0.14562744285889473,0.04671589177464748,0.07379256824266132,0.4307281759009498,0.0029781859136358566,0.006665695553766993,0.0016699605168392106,0.049048725114430605,0.03141331268639882,0.06534551296407973,0.2580818141510665,0.024940083360105166,0.14787543103867093,0.06272912139141336,0.000757791567662183,0.00474826213026434,0.0028013227669209224,0.029208827773469025
4.0,320,0.0532481160173658,0.07427175128586154,0.15197154899256507,0.054660542571970144,0.09690419903307462,0.4829927159415052,0.0038174429999229416,0.007594558262677359,0.0018876714537353603,0.05407949045181579,0.03521530428666714,0.07097707822513254,0.29581728810949826,0.021776122219651355,0.1709533249565931,0.06986812600090102,0.0007310396371845817,0.005231387463002048,0.0018234542781126188,0.028759719369684255
5.0,360,0.05629778607090271,0.08064588357638922,0.1502896758546267,0.05575691967464785,0.08001378700382934,0.44085183770624164,0.003145416320321487,0.007827806019837595,0.0016484084037960644,0.04499941496153241,0.033783718881439315,0.06632838676347365,0.26389996184333564,0.021193443235986056,0.1441210694274211,0.06287607651975863,0.000659566349271232,0.004138504358438243,0.001594405047879838,0.0320467697004057
6.0,400,0.05723315891047282,0.08545669805360798,0.150602581759629,0.06506718706446532,0.08742750340770775,0.4679106678956865,0.0031143657260668876,0.009180668710630112,0.0016747522540898352,0.04286080830306652,0.04165693502121098,0.07168150231036849,0.2654024388675119,0.018104409563568437,0.15592580399137673,0.06820898274109315,0.000592437766298025,0.0039035490227613935,0.0008476257487482702,0.029611993389258316
7.0,440,0.056155739746057726,0.07750457799058155,0.14748863770295828,0.05474437161606343,0.08527035376841151,0.45517263400061164,0.003107288576371707,0.007458424003891175,0.0016361751584293273,0.04756811717365088,0.03365117442374852,0.0638978920564276,0.2537050554330782,0.02300284017365758,0.14682898649201478,0.060129449630291966,0.000694472263578723,0.004698623037761556,0.0015833779811428826,0.02788552343139625
8.0,480,0.0557281829131173,0.07808922498440031,0.1458409714403153,0.05277297459149046,0.07910531934320378,0.44117926327132084,0.003223635663963279,0.00742355492521585,0.0016039484672586142,0.045936027722762576,0.030930491791371174,0.06290294631977873,0.2479719079469984,0.022707671550963447,0.1400408488515184,0.059463870422754375,0.0007114086264303509,0.004409216204077303,0.0018946567806769079,0.029744680149834408
9.0,520,0.062036521773542734,0.0879336585295674,0.1483062054348628,0.05548568370882889,0.08336577669920558,0.44606855174596444,0.0031827561393828426,0.008086280590871877,0.0016061116828583158,0.04369953283290632,0.032368099952011016,0.0608660129151174,0.21891535808554846,0.023617753550961833,0.12551380883913504,0.05467306807260079,0.0007144576868668832,0.004159826839922653,0.0019053413350199112,0.030944177042925337
10.0,560,0.05855827982132442,0.08112686551496033,0.14518111528440042,0.04896972698483968,0.08890043380826204,0.469180244983966,0.0036781839153303833,0.007970172475874695,0.0016832806239150916,0.043459733260994934,0.031072037525902246,0.061848239742348224,0.2389244595679015,0.02236387796087329,0.13144104481743116,0.056683141430639135,0.0007375660983556003,0.004188517911071035,0.002011288341319583,0.035854887495951594
11.0,600,0.047013699024659496,0.07843611858734148,0.1284072849214587,0.04492362729618799,0.08590590552993406,0.37064127963469407,0.008892348408715329,0.02105571026466685,0.0017797016477651378,0.0383036407506087,0.03835546408075084,0.07543968291982757,0.23857843470445886,0.019084935031067167,0.12260960590001671,0.04982325915582847,0.0011874274163698533,0.004164482359990933,0.0034412363105529864,0.03599035029375718
12.0,640,0.02778721263022939,0.06407126112343955,0.1243756518466233,0.051131047408243306,0.18437483659313778,0.4826232261249867,0.07042681992160085,0.08040959650327541,0.005080063494726496,0.04112591761788935,0.03682685643389138,0.1049381620073968,0.24600175264794757,0.026825119262937326,0.17913807519262834,0.046057572752976665,0.0030483294900190095,0.0067906689681589355,0.004756675133374719,0.03368399314057314
13.0,680,0.01805824391859124,0.05449432205204085,0.17747383547261228,0.041290557083303946,0.21116864413907538,0.478050251172735,0.32446178811865833,0.18507784378526462,0.00979083143676204,0.04177859676033566,0.036418518073019136,0.17417488784614946,0.18973276141935883,0.05072501767032152,0.2172695182989706,0.044881978293347,0.007247631297158906,0.012463790361582204,0.00524238944188366,0.030986158081676037
