frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.03958487,6.845221e-08,0.07620694,0.04484634,0.06082176,0.05141443,0.07522631,0.04280167,0.03094986,0.06689613,0.02714069,0.03465846,0.01548628,0.05190374,0.01081564,0.02940325,0.085515,0.09093098,0.0509717,0.05073717
1,0.0392203,6.853931e-08,0.07623632,0.04493114,0.06071635,0.05148245,0.07522707,0.04280053,0.03102694,0.0669702,0.02713938,0.03452268,0.01549713,0.05190404,0.01085818,0.0294008,0.08450566,0.09081416,0.05093235,0.05075032
2,0.0388726,6.763383e-08,0.07627191,0.04496356,0.06056771,0.0515607,0.07522801,0.04280071,0.03112413,0.06694068,0.02713371,0.03432283,0.01550019,0.05190158,0.01081398,0.02966429,0.083846,0.09071384,0.05089841,0.05077646
3,0.038538,6.643642e-08,0.07631357,0.04501579,0.06044581,0.05166565,0.07522838,0.04280199,0.03123872,0.06678422,0.02711339,0.03407748,0.01549807,0.05190699,0.01076976,0.03000499,0.08318289,0.0905137,0.05086697,0.05081363
4,0.03822671,6.545883e-08,0.07633618,0.04508701,0.06033614,0.051794,0.07522856,0.04280613,0.03136532,0.06653246,0.02709304,0.03386134,0.01549929,0.05190673,0.01072998,0.03043553,0.08269034,0.09032937,0.05083704,0.05084648
5,0.03797147,6.573257e-08,0.07636061,0.04514777,0.06036841,0.05198084,0.07523047,0.04280922,0.03149952,0.06644313,0.02705766,0.03369522,0.0154996,0.05190088,0.01082647,0.03089048,0.08219784,0.09011571,0.05080656,0.05090693
6,0.03783486,6.511824e-08,0.07638938,0.0451844,0.0601796,0.05217046,0.07525326,0.04321111,0.03165381,0.06571877,0.02698535,0.03335931,0.0155815,0.05188058,0.01217285,0.03156412,0.1074961,0.09163792,0.0507707,0.05095745
7,0.03775652,6.814236e-08,0.07642236,0.04556211,0.05967698,0.05303297,0.07524341,0.04366961,0.03164066,0.0648053,0.02687317,0.03296526,0.01804889,0.05180204,0.01422783,0.03079391,0.1631428,0.09685291,0.05111652,0.0510745
8,0.03851885,7.59717e-08,0.07644174,0.0460623,0.05928425,0.05391676,0.07523217,0.0437762,0.03148204,0.06411456,0.02678504,0.03250078,0.03263801,0.05173925,0.01498653,0.03022224,0.2153201,0.09965034,0.05237727,0.05120248
9,0.03941714,8.249994e-08,0.07646536,0.04656316,0.05896525,0.05461982,0.07522142,0.04400321,0.03137305,0.06347266,0.02670468,0.03205799,0.05319148,0.05170512,0.01518312,0.02990795,0.2642441,0.1020433,0.05391733,0.05127077
10,0.03979067,8.722755e-08,0.07652567,0.04654925,0.05882367,0.05528145,0.07521053,0.04424155,0.03130011,0.06296356,0.02665707,0.03166519,0.09605884,0.05168284,0.01519803,0.02992396,0.3101177,0.1025045,0.05467572,0.05129604
11,0.04028081,9.090553e-08,0.07655033,0.0464583,0.05861995,0.05557435,0.07519966,0.04454054,0.03117648,0.06269237,0.026587,0.03128784,0.1323766,0.0516499,0.01522873,0.03015889,0.3531312,0.1027904,0.05508761,0.05130257
12,0.04067074,9.359931e-08,0.07659394,0.0463152,0.05838597,0.05576328,0.07518971,0.04500207,0.03106434,0.06246845,0.02652312,0.03093497,0.1698311,0.05159687,0.01521545,0.03045471,0.3927284,0.1026613,0.05531055,0.05130151
13,0.04104352,9.705422e-08,0.07667024,0.04617613,0.05806452,0.05621808,0.0751806,0.04557046,0.03093621,0.0621568,0.02646755,0.03059835,0.2056537,0.05153491,0.01502287,0.03066986,0.4282156,0.1025795,0.0556582,0.05131625
14,0.04151531,9.895817e-08,0.07669279,0.04608344,0.05775968,0.05658972,0.075172,0.04606813,0.03081266,0.06179621,0.02641957,0.03028209,0.2378287,0.05147785,0.01478931,0.03072257,0.4621201,0.1024792,0.05620413,0.0513172
15,0.04177789,1.006273e-07,0.07672364,0.04611933,0.05756161,0.05695837,0.07516396,0.04648056,0.0307094,0.06136077,0.02638828,0.02999512,0.2708052,0.0514252,0.01455764,0.03085854,0.491141,0.1023075,0.05634497,0.05130291
16,0.04196787,1.012632e-07,0.07678543,0.04600856,0.05742061,0.05736964,0.0751569,0.04704303,0.03059163,0.0610394,0.02638286,0.02973226,0.3062527,0.05136958,0.01434954,0.03089922,0.5118315,0.1021019,0.05636221,0.05129046
17,0.042014,1.015112e-07,0.07686893,0.04589545,0.05718223,0.0576828,0.07515024,0.0474227,0.03046542,0.06069823,0.02637844,0.0294779,0.3415901,0.05131583,0.01415035,0.03094223,0.5295136,0.1019059,0.05629535,0.05127903
18,0.04205751,1.048212e-07,0.07694945,0.04580988,0.05702678,0.05795573,0.07514428,0.04785801,0.03035468,0.06041577,0.02637371,0.0292394,0.3733289,0.05126753,0.01392513,0.03099732,0.5486683,0.1015465,0.05632214,0.0512686
19,0.04206561,1.082732e-07,0.07702897,0.04570668,0.05687808,0.0582691,0.07513878,0.04833299,0.03023688,0.06022272,0.02636158,0.02901625,0.4040539,0.05121745,0.01373656,0.03101227,0.5658923,0.101278,0.05632273,0.0512543
20,0.04207639,1.134843e-07,0.07709574,0.04559916,0.05673321,0.05855956,0.0751342,0.04891357,0.03012341,0.06002074,0.02634778,0.02881032,0.4316207,0.05116888,0.01355983,0.03100813,0.5814239,0.101081,0.05633557,0.05124399
21,0.04198598,1.212738e-07,0.07715281,0.04549668,0.05659704,0.05880292,0.07512952,0.04958026,0.03001455,0.05976994,0.02634776,0.02862172,0.455173,0.05112129,0.01334913,0.03109361,0.5952377,0.1010785,0.05640041,0.05123116
22,0.04181532,1.290422e-07,0.07718338,0.04538171,0.05652985,0.0591189,0.07512529,0.05008142,0.02991467,0.05947922,0.02637563,0.02845019,0.4777874,0.05107438,0.01315561,0.03116409,0.6111531,0.1010916,0.05656447,0.05123191
23,0.04158485,1.356294e-07,0.07719384,0.0452622,0.05647992,0.05938768,0.07512125,0.05061762,0.02982153,0.05919654,0.02641952,0.02829301,0.5020264,0.05103175,0.01298971,0.03123809,0.6250462,0.1010741,0.05686484,0.05123922
24,0.04133615,1.395994e-07,0.07718555,0.04512929,0.05646447,0.0596628,0.07511757,0.05103799,0.02972761,0.05894686,0.0264726,0.02813681,0.5254705,0.05099313,0.01280357,0.03123035,0.6396536,0.1010838,0.05726492,0.05124982
25,0.04100674,1.45993e-07,0.07718772,0.04501373,0.05657183,0.05988307,0.07511356,0.05137471,0.0296436,0.05862034,0.0265318,0.02797768,0.5467776,0.05096373,0.01256337,0.03112968,0.6546751,0.1010836,0.05740086,0.05127276
26,0.04069982,1.512911e-07,0.07718263,0.04489885,0.05665115,0.06018669,0.07510985,0.05163292,0.02956639,0.0583235,0.02655453,0.02782346,0.5698805,0.05093605,0.01231921,0.03102285,0.6671334,0.1011326,0.05746175,0.05128361
27,0.04043764,1.553298e-07,0.07718036,0.0448047,0.05674466,0.06037715,0.07510639,0.05168437,0.02949863,0.05806829,0.02657156,0.02767753,0.5865058,0.05091134,0.01208617,0.03074803,0.6794976,0.10109,0.05746155,0.05129568
28,0.04018373,1.556327e-07,0.07716136,0.04472265,0.05680618,0.06055009,0.07510337,0.05170251,0.02943959,0.05785876,0.02657191,0.02753723,0.6030567,0.05088546,0.01187959,0.03041961,0.6909631,0.1010844,0.05740483,0.05130474
29,0.03998345,1.545231e-07,0.07717162,0.04464187,0.05704519,0.06073624,0.07510072,0.05168864,0.02939101,0.05771448,0.02656039,0.02741106,0.6144362,0.05086324,0.01167196,0.03011181,0.7016165,0.1009102,0.05735578,0.05131114
30,0.0398359,1.506954e-07,0.07714562,0.04455549,0.05733135,0.06093509,0.07509838,0.05161132,0.02932673,0.05756189,0.02656338,0.02729196,0.6214495,0.05084089,0.01145013,0.02978804,0.7161053,0.1008028,0.05736784,0.05130487
31,0.04003326,1.478613e-07,0.07709714,0.04457114,0.05793008,0.06115843,0.07509638,0.05128546,0.02931542,0.05772002,0.02655256,0.02719788,0.6157371,0.05083907,0.01128662,0.02941601,0.7338059,0.1011742,0.05830302,0.05131125
32,0.04005281,1.465974e-07,0.07704455,0.04447476,0.05961344,0.06073524,0.07510241,0.05090044,0.02965471,0.05743552,0.0264925,0.02715774,0.5797514,0.05081933,0.01127918,0.02875466,0.7504028,0.1069288,0.05800232,0.05132592
33,0.03993141,1.427413e-07,0.07698978,0.04444535,0.05948715,0.06064006,0.07510708,0.05145967,0.03065287,0.0570981,0.02648037,0.0272737,0.5451451,0.05084337,0.01202258,0.02870578,0.7489605,0.1074488,0.05754254,0.05131568
34,0.03961609,1.375288e-07,0.07693592,0.04444455,0.05930656,0.06059929,0.07511328,0.05114067,0.03143004,0.05735479,0.02645671,0.02775405,0.5121768,0.05096557,0.01277698,0.03069823,0.7160402,0.1059217,0.0570864,0.05129601
35,0.03929679,1.318574e-07,0.07690638,0.0444462,0.0590092,0.0603461,0.07512026,0.05066264,0.03240553,0.05802869,0.02641185,0.02801446,0.4812147,0.05104258,0.01287273,0.03325739,0.6761826,0.104164,0.05666751,0.05127881
36,0.03898226,1.259734e-07,0.07688481,0.04449177,0.0586218,0.05998147,0.07512339,0.05017595,0.03349205,0.0600469,0.02635035,0.0281535,0.452172,0.05106677,0.01267815,0.03478151,0.6371688,0.1024318,0.05627857,0.05124
37,0.0386619,1.20616e-07,0.07688313,0.04461271,0.05825947,0.05959608,0.07512603,0.04972153,0.03459157,0.06218741,0.0262912,0.02830112,0.4249425,0.0510727,0.01250795,0.03630845,0.6004974,0.1007975,0.05591416,0.05121008
38,0.03836316,1.162023e-07,0.07688756,0.04474939,0.05791501,0.05916004,0.07512705,0.04930082,0.035763,0.06448382,0.02623246,0.02844992,0.3994107,0.05107415,0.01237534,0.03764047,0.5657895,0.09925356,0.05557141,0.05118496
39,0.03807582,1.121799e-07,0.0768886,0.04486558,0.05761893,0.05871401,0.07512531,0.04890739,0.03662815,0.06667622,0.02617782,0.02858335,0.3754647,0.05107735,0.01220538,0.03850644,0.5329722,0.09779247,0.05525005,0.05116229
40,0.03782586,1.084664e-07,0.07688437,0.04498952,0.05731184,0.05835616,0.07512343,0.04853583,0.03734828,0.0690956,0.02612976,0.02873275,0.353009,0.05107871,0.01208411,0.0395081,0.5022129,0.09642138,0.05494391,0.05115129
41,0.03759027,1.052167e-07,0.07689132,0.04508478,0.05704001,0.05800888,0.07512074,0.04818919,0.03799284,0.07176253,0.02608245,0.02886221,0.3319541,0.05108069,0.01196437,0.04054208,0.4733452,0.09513769,0.05465529,0.05113774
42,0.03737424,1.031277e-07,0.07691337,0.0451754,0.05678011,0.05768045,0.07511843,0.04786641,0.03858557,0.0742339,0.02603865,0.02898677,0.3122114,0.05108649,0.01184774,0.04146692,0.4462021,0.09392601,0.05438343,0.05112567
43,0.03715819,1.007624e-07,0.07691804,0.04528715,0.05654793,0.05736901,0.0751161,0.04756303,0.03929011,0.07661726,0.02599659,0.02904166,0.2936996,0.05109479,0.01172448,0.04221351,0.4207614,0.09279901,0.05412661,0.05111707
44,0.0369474,9.796403e-08,0.07693112,0.04542083,0.05635053,0.05712818,0.07511394,0.04727797,0.0397104,0.07919368,0.02596533,0.02911599,0.2763449,0.05109857,0.01166505,0.04284155,0.396947,0.09174962,0.05388579,0.05110741
45,0.0367288,9.481749e-08,0.07694951,0.0455173,0.05616571,0.05705771,0.07511221,0.04701266,0.03999653,0.08122603,0.02593475,0.02913487,0.2600749,0.05109757,0.01166428,0.04336503,0.3746011,0.0907598,0.05365925,0.051105
46,0.0365213,9.186714e-08,0.07700141,0.04554808,0.05599321,0.05701805,0.07510979,0.04675909,0.04029119,0.08308615,0.02590722,0.02911606,0.244826,0.05108756,0.01167195,0.04406587,0.3537218,0.08983998,0.0534453,0.05110174
47,0.03632193,8.875233e-08,0.07703979,0.04555355,0.05580936,0.05703295,0.07510797,0.04652102,0.04054344,0.08603176,0.02588371,0.02909143,0.2305154,0.05108958,0.01164436,0.04464467,0.3341911,0.08896533,0.05324483,0.05109281
48,0.03613324,8.562849e-08,0.07707692,0.04556575,0.05562516,0.05701539,0.07510614,0.04629617,0.04061482,0.08863285,0.0258639,0.02904898,0.2170931,0.05108234,0.01164051,0.04508767,0.3156431,0.08813708,0.05305624,0.05107189
49,0.03596034,8.296072e-08,0.07711597,0.04555124,0.05547409,0.05698504,0.07510436,0.04608373,0.04067991,0.09018267,0.02584755,0.02901898,0.2045118,0.05107445,0.01170151,0.04559321,0.2981067,0.08735925,0.05287879,0.05105639
50,0.03579836,8.043026e-08,0.07715011,0.04554293,0.05534688,0.05694455,0.07510259,0.04588416,0.04076371,0.09133533,0.02583142,0.02898433,0.1927175,0.05106673,0.01177458,0.04609066,0.2816742,0.0866273,0.05271195,0.05104103
51,0.03564343,7.814467e-08,0.07717798,0.04553938,0.05523003,0.05688759,0.07510114,0.04569507,0.04082362,0.09290683,0.02582411,0.0289459,0.1816562,0.05106042,0.01181192,0.04644963,0.2662483,0.08594063,0.05255558,0.05102666
52,0.03551053,7.611771e-08,0.07718819,0.04555592,0.05513937,0.05682549,0.07510006,0.0455198,0.04084738,0.0942282,0.02581791,0.02891237,0.1712856,0.05105527,0.011866,0.04687671,0.2518115,0.08529514,0.05240886,0.05101205
53,0.03539784,7.421713e-08,0.077212,0.04564032,0.0550928,0.05665582,0.07509919,0.0453513,0.04085487,0.09488547,0.02581117,0.028893,0.1615606,0.05104865,0.01193725,0.04696003,0.2382289,0.08470048,0.05227027,0.05101139
54,0.03528982,7.220278e-08,0.07723605,0.04569919,0.05503666,0.0565432,0.07509829,0.04519195,0.04081451,0.09517761,0.02580708,0.02885275,0.152442,0.05104607,0.01195388,0.04681687,0.2254789,0.08414202,0.05214065,0.05100873
55,0.03518526,7.016886e-08,0.07723875,0.04578289,0.05503907,0.05638561,0.07509699,0.04504215,0.04074258,0.09605876,0.02580343,0.0288094,0.1438905,0.05103755,0.01191609,0.04657549,0.2135863,0.08362619,0.05201823,0.05100076
56,0.03509108,6.858112e-08,0.0772264,0.04584682,0.0550415,0.05626916,0.07509632,0.04490255,0.04063824,0.09724908,0.02580155,0.02878085,0.1358723,0.05102932,0.0118904,0.04648824,0.2024316,0.08315037,0.05190621,0.05099447
57,0.03501437,6.688914e-08,0.0771955,0.04594056,0.05505272,0.05612307,0.07509577,0.04477242,0.04057908,0.09856345,0.02579551,0.02875903,0.1283564,0.05102078,0.01185738,0.04655699,0.1920106,0.0827034,0.05180023,0.05098332
